c_index,spearman,pearson,p_spearman,k,taxonomy_level,filter,Metabolites,Locate,Microbium,number
0.5714285714285714,0.2898855178262242,0.0299941066628577,0.5773517870348748,1000,0,2,1,0,0,1889
0.5,0.0869656553478672,0.0624046551835551,0.8698803787001028,50,0,2,1,0,0,1889
0.5,-0.0579771035652448,0.1229395416525023,0.9131317851623264,100,0,2,1,0,0,1889
0.5,0.0289885517826224,-0.0035698682669824,0.9565293523898406,250,0,2,1,0,0,1889
0.5,0.0289885517826224,-0.0981680956975411,0.9565293523898406,500,0,2,1,0,0,1889
0.4285714285714285,-0.2029198624783569,-0.2772353314274564,0.699797968157019,1889,0,2,1,0,0,1889
0.3571428571428571,-0.347862621391469,-0.1414785113089375,0.4992532181146331,25,0,2,1,0,0,1889
0.0714285714285714,-0.9276336570439174,-0.8121873741316956,0.0076658441874731,10,0,2,1,0,0,1889
0.6633663366336634,0.3886670702584256,0.442132779439948,0.1368070708879399,25,0,4,1,0,0,1889
0.6435643564356436,0.319369840677466,0.3767185909998503,0.2279142935553244,1889,0,4,1,0,0,1889
0.6138613861386139,0.2530855341217655,0.2469022184111929,0.3442783844731609,50,0,4,1,0,0,1889
0.5841584158415841,0.2470596880712473,0.0831395181246095,0.356273303996933,100,0,4,1,0,0,1889
0.495049504950495,0.0632713835304413,0.1575854405072047,0.8159259848446407,250,0,4,1,0,0,1889
0.4554455445544554,-0.1235298440356236,-0.0945733874545836,0.6485409110144607,10,0,4,1,0,0,1889
0.4455445544554455,-0.0662843065557004,0.2802265096674582,0.8073104097588493,1000,0,4,1,0,0,1889
0.3168316831683168,-0.4187963005110167,-0.4346444720038982,0.1064107273892742,500,0,4,1,0,0,1889
0.6243654822335025,0.3138894327101519,0.0054024894555459,0.1548569631422521,250,0,0,1,0,0,1889
0.6040609137055838,0.2446491166711478,0.0422048177494308,0.272508009347867,500,0,0,1,0,0,1889
0.5279187817258884,0.0755873450092461,0.1234240923315812,0.7381382330192856,1889,0,0,1,0,0,1889
0.4010152284263959,-0.2498421403740731,0.1167188232428885,0.2621351898731,10,0,0,1,0,0,1889
0.3959390862944162,-0.2504191430077314,-0.288140455273314,0.2609984122756975,1000,0,0,1,0,0,1889
0.299492385786802,-0.4610251042930355,-0.602861081512483,0.030812328769757,50,0,0,1,0,0,1889
0.2842639593908629,-0.5008382860154629,-0.5482502318964686,0.0175858660707055,100,0,0,1,0,0,1889
0.2791878172588832,-0.5389204598369153,-0.5840218985533869,0.0096542514962633,25,0,0,1,0,0,1889
0.768595041322314,0.6609312730354034,0.7394874999439971,0.0038694184301863,5,6,2,0,1,0,10
0.7603305785123967,0.6497501048825489,0.5700577784215549,0.0047553868149474,2,6,2,0,1,0,10
0.7603305785123967,0.6087524883220822,0.6892021027324122,0.0095032336436065,10,6,2,0,1,0,10
0.7520661157024794,0.6323571766447751,0.5454341519168335,0.006453322215102,3,6,2,0,1,0,10
0.7520661157024794,0.5528466475578092,0.6492957871172526,0.0213532248597962,7,6,2,0,1,0,10
0.743801652892562,0.5677548717616153,0.5581508930789179,0.017437139240792,9,6,2,0,1,0,10
0.7355371900826446,0.6186913044579528,0.5627757747036335,0.0081035336195772,4,6,2,0,1,0,10
0.7355371900826446,0.56278546369368,0.636657056283069,0.0186740828146792,6,6,2,0,1,0,10
