c_index,spearman,pearson,p_spearman,k
0.7142857142857143,0.4638168285219587,0.2920971633596394,0.3541642984362307,3
0.7142857142857143,0.4638168285219587,0.25444224460292875,0.3541642984362307,10
0.5714285714285714,0.11595420713048968,0.1891246905958686,0.826848213385815,8
0.5,0.05797710356524484,0.28771942597477385,0.9131317851623264,4
0.5,0.05797710356524484,0.16240079917724565,0.9131317851623264,5
0.5,0.05797710356524484,0.03728688709935342,0.9131317851623264,6
0.5,0.05797710356524484,0.12903404768851978,0.9131317851623264,7
0.5,0.05797710356524484,0.10308015187007159,0.9131317851623264,9
0.42857142857142855,-0.2608969660436018,-0.09905366191105044,0.6175338174259972,2
0.21428571428571427,-0.753702346348183,-0.6218014589445684,0.0835232813732598,1
