ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,diff,DateEnd
43-1_7-20,-0.16618718,0.19058469,-0.31057405,0.12807503,-0.3069825,-0.29899997,-0.15949725,-0.021432996,0.14593624,-0.20123681,Agf43,43-1,2020-07-01,4,420,2021-09-01
31-2_5-20,0.02984188,0.084156275,0.09003647,0.257131,-0.12807226,-0.2029562,0.24995483,-0.20624036,-0.06582454,0.08225605,Agf31,31-2,2020-05-01,2,480,2021-09-01
40-1_5-20,0.030568847,0.10603297,-0.1051493,0.25537485,-0.27845994,-0.16496758,0.08176802,-0.08546058,-0.030634,-0.1395856,Agf40,40-1,2020-05-01,2,480,2021-09-01
29-0_5-20,0.03721635,0.070906885,-0.0054984987,0.3036528,-0.22086973,-0.2278009,0.090267055,-0.14010248,-0.097199515,-0.008392246,Agf29,29-0,2020-05-01,4,420,2021-07-01
14-2_5-20,0.011900203,0.20930377,0.06388584,-0.21018305,-0.115367055,-0.12799178,0.05364159,-0.014031962,0.070255235,0.084476285,Agf14,14-2,2020-05-01,4,420,2021-07-01
28-0_5-20,0.06449696,0.06924036,0.046862096,0.16677013,-0.20643209,-0.087510906,0.11191362,-0.19668838,-0.19654828,-0.012509728,Agf28,28-0,2020-05-01,4,420,2021-07-01
42-1_7-20,-0.17962211,0.1650848,-0.18337451,0.19771269,-0.39555293,-0.18145102,-0.07783251,-0.056150056,-0.15134054,-0.2142276,Agf42,42-1,2020-07-01,4,420,2021-09-01
23-2_5-20,0.09340031,0.053674527,0.09716441,0.13605925,-0.1659653,-0.09944212,0.14359093,-0.2639588,-0.17970541,0.07670382,Agf23,23-2,2020-05-01,4,420,2021-07-01
18-1_5-20,-0.15616716,0.28904343,-0.06600715,-0.051306866,-0.13441212,-0.16115361,0.13018313,-0.1819233,0.024018034,-0.05839271,Agf18,18-1,2020-05-01,4,420,2021-07-01
43-0_7-20,0.09092414,0.060630277,0.061505586,0.17305028,-0.26273665,-0.1924143,0.15334933,-0.16946164,0.060189486,0.016725753,Agf43,43-0,2020-07-01,4,420,2021-09-01
25-0_5-20,-0.08242221,0.25642377,-0.0021170825,0.03674599,-0.1923335,0.008183844,0.14556915,-0.04224147,-0.12536922,-0.07907262,Agf25,25-0,2020-05-01,4,420,2021-07-01
14-0_5-20,0.02962309,0.09947287,0.17828248,-0.053828344,-0.1335237,-0.09640534,0.15278678,-0.3034657,-0.07351577,0.15961093,Agf14,14-0,2020-05-01,4,420,2021-07-01
39-0_7-20,-0.08735127,0.1314262,0.13712914,0.12437133,-0.429763,-0.1484142,0.19739778,-0.24242717,-0.057678975,0.054594785,Agf39,39-0,2020-07-01,4,420,2021-09-01
22-0_5-20,-0.13461545,0.25010005,-0.021157756,0.07927781,-0.26959926,-0.1508622,0.11551705,-0.08423056,-0.007120192,-0.07767492,Agf22,22-0,2020-05-01,4,420,2021-07-01
32-2_5-20,0.026545027,0.051284917,0.15291198,0.2023671,-0.3463173,-0.05215749,0.27136058,-0.22524735,-0.1368429,0.045357108,Agf32,32-2,2020-05-01,2,480,2021-09-01
23-0_5-20,0.05931489,0.1294886,-0.023922905,0.063065715,-0.15027097,-0.19386087,0.0786666,-0.1600071,0.10168296,-0.0046840888,Agf23,23-0,2020-05-01,4,420,2021-07-01
40-2_7-20,0.094443046,0.16017799,0.08227934,0.20175546,-0.046773404,-0.18496162,0.17460878,-0.18672645,-0.06974695,0.10387742,Agf40,40-2,2020-07-01,4,420,2021-09-01
32-0_5-20,-0.05607947,0.12563285,0.046745196,0.058391176,-0.17027979,0.10017329,0.15103401,-0.18122435,-0.36616743,-0.048590712,Agf32,32-0,2020-05-01,2,480,2021-09-01
21-2_5-20,-0.11003224,0.29905275,0.009329066,0.022952858,-0.24054302,-0.054585874,0.06915952,-0.060019203,-0.13386193,0.023907911,Agf21,21-2,2020-05-01,4,420,2021-07-01
18-2_5-20,-0.078176856,0.1811,-0.12630932,-0.088720314,-0.23409596,-0.13099231,0.020582655,-0.07435794,0.012931816,-0.19323778,Agf18,18-2,2020-05-01,4,420,2021-07-01
