ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,DeathDate,diff
34-0_7-20,-0.10347336,-0.18476345,0.0869009,0.02965084,0.25024137,0.032239676,-0.015804112,-0.296852,-0.25714025,-0.05060164,Agf34,34-0,2020-07-01,4,2021-05-01,270
36-2_7-20,-0.018016294,-0.086066425,-0.008010175,0.17551087,0.27286744,-0.08559842,-0.10405531,-0.1231108,-0.109733276,-0.01714398,Agf36,36-2,2020-07-01,4,2021-07-01,390
20-1_5-20,-0.1556821,0.04432915,-0.08067227,0.08730322,0.0740944,0.005279134,-0.11030046,0.05325424,-0.1678958,-0.20442605,Agf20,20-1,2020-05-01,4,2020-01-01,240
47-1_7-20,-0.0065446626,0.074358076,-0.06471457,0.20564255,0.13492012,0.0014842525,-0.25091588,-0.122326,0.11157077,-0.052933153,Agf47,47-1,2020-07-01,4,2021-05-01,270
41-1_7-20,-0.23828807,0.106982455,-0.04672144,0.12762055,0.2088677,0.078126684,-0.08973589,-0.20064121,-0.050720293,-0.08065766,Agf41,41-1,2020-07-01,4,2021-06-01,360
24-2_5-20,-0.042159352,0.02810239,-0.11312539,0.42429107,0.34256488,0.00494022,0.08838859,-0.22144765,-0.12759843,-0.17855167,Agf24,24-2,2020-05-01,4,2021-05-01,390
34-0_5-20,-0.19092615,-0.11077357,0.15870804,-0.0067133196,0.1461426,0.16851209,-0.00085304305,-0.30453077,-0.17110813,-0.024219893,Agf34,34-0,2020-05-01,2,2021-05-01,330
21-1_5-20,-0.2514999,0.06047307,-0.10357086,0.24292383,0.17522484,0.0798022,0.067164324,-0.01894752,-0.08040602,-0.34053466,Agf21,21-1,2020-05-01,4,2021-04-01,330
41-1_5-20,-0.21328942,-0.00047115237,-0.07579323,0.10948777,0.12507772,0.08627458,0.005534552,-0.08370114,-0.024758335,-0.1918756,Agf41,41-1,2020-05-01,2,2021-06-01,420
45-0_5-20,-0.22686395,0.057161987,-0.06509618,0.23935458,0.21044374,0.050437957,0.06914524,-0.06144158,-0.06262605,-0.27273986,Agf45,45-0,2020-05-01,2,2021-03-01,300
24-0_5-20,-0.1383126,0.029505111,0.061649505,0.2412866,0.25966814,0.015220855,0.0836263,-0.2212418,-0.12853754,-0.139291,Agf24,24-0,2020-05-01,4,2021-05-01,390
30-2_7-20,-0.09525991,0.06488815,-0.11994557,0.10359131,0.22322743,-0.08637869,-0.08350622,-0.060308874,-0.14489314,-0.108392045,Agf30,30-2,2020-07-01,4,2021-05-01,330
30-0_5-20,-0.054449074,0.11131203,-0.19445905,0.13233835,0.12193166,-0.07787076,-0.078903854,-0.07490163,-0.1541566,-0.123196125,Agf30,30-0,2020-05-01,2,2021-05-01,390
33-1_7-20,-0.27083266,0.087331295,-0.037995066,0.036921237,0.122531034,0.05607523,0.00021125376,-0.009583369,-0.035499003,-0.28508338,Agf33,33-1,2020-07-01,4,2021-07-01,390
35-2_7-20,-0.05466149,-0.08438029,0.06796413,0.103242174,0.2125145,0.041616816,-0.07890506,-0.14859462,-0.07130094,-0.074727714,Agf35,35-2,2020-07-01,4,2021-03-01,240
45-0_7-20,-0.13466677,0.09486641,-0.10806097,0.14266995,0.20100623,-0.028477691,-0.18535125,-0.15145348,-0.0738675,-0.14076918,Agf45,45-0,2020-07-01,4,2021-03-01,240
14-1_5-20,-0.12280986,0.11323397,-0.14997937,0.2980106,0.13689816,0.06905773,-0.16369894,-0.1976496,0.16128448,-0.30688804,Agf14,14-1,2020-05-01,4,2021-05-01,390
29-2_5-20,-0.14243183,0.043511093,-0.02291781,0.061337274,0.2093357,0.013747553,-0.10986204,-0.19006848,-0.15506798,-0.10040292,Agf29,29-2,2020-05-01,4,2021-05-01,330
40-0_5-20,-0.15107638,0.02450148,-0.14144503,0.14777568,0.15386647,0.013345097,-0.1288611,-0.0798244,-0.13373435,-0.17420709,Agf40,40-0,2020-05-01,2,2021-05-01,390
31-1_5-20,-0.10767542,-0.070569925,0.025856245,0.16521351,0.09087844,0.16979827,-0.1362887,-0.2633907,-0.050573137,0.010670707,Agf31,31-1,2020-05-01,2,2021-05-01,360
37-2_7-20,-0.14304896,-0.03329588,-0.015837662,0.20499378,0.19710916,0.022587832,-0.11530215,-0.20001581,-0.07573058,-0.12038286,Agf37,37-2,2020-07-01,4,2021-05-01,270
37-0_7-20,-0.11707638,-0.19534737,-0.021072898,0.1309593,0.18272206,0.064052254,-0.09575481,-0.28923237,-0.34056613,-0.02675566,Agf37,37-0,2020-07-01,4,2021-01-01,180
