Group 1,Group 2,H,p-value,q-value
Month_02 (n=31),Month_04 (n=58),5.939117538005178,0.014808431282735202,0.029616862565470404
Month_02 (n=31),Month_06 (n=50),22.392037765538987,2.222936700285842e-06,2.0006430302572577e-05
Month_02 (n=31),Month_08 (n=51),16.016300496102076,6.279946342374344e-05,0.00022607806832547635
Month_02 (n=31),Month_10 (n=53),21.956700440370923,2.788715658054762e-06,2.0078752737994284e-05
Month_02 (n=31),Month_12 (n=62),31.53105143135474,1.9627634454896117e-08,2.355316134587534e-07
Month_02 (n=31),Month_14 (n=58),19.821208750463484,8.503390769467087e-06,4.3731723957259306e-05
Month_02 (n=31),Month_16 (n=50),42.12972462627852,8.541495296072765e-11,3.0749383065861957e-09
Month_02 (n=31),Month_18 (n=40),21.290860215053783,3.946084770721723e-06,2.3676508624330338e-05
Month_04 (n=58),Month_06 (n=50),6.288478329642601,0.012152534097319465,0.02573477808844122
Month_04 (n=58),Month_08 (n=51),4.832896920523638,0.027921676652437843,0.050259017974388115
Month_04 (n=58),Month_10 (n=53),9.136908634631482,0.002505039984501235,0.00693703380323419
Month_04 (n=58),Month_12 (n=62),17.87178591456069,2.3629849153964006e-05,0.00010633432119283803
Month_04 (n=58),Month_14 (n=58),8.244153785176309,0.004088346436345693,0.009200463229730555
Month_04 (n=58),Month_16 (n=50),31.713862701676703,1.7864249565932607e-08,2.355316134587534e-07
Month_04 (n=58),Month_18 (n=40),11.689080459770139,0.0006286796104623474,0.002057496906967682
Month_06 (n=50),Month_08 (n=51),0.08530565167239956,0.7702321000260661,0.794430893975051
Month_06 (n=50),Month_10 (n=53),0.7702031930333533,0.3801542002768864,0.45618504033226365
Month_06 (n=50),Month_12 (n=62),5.78661718526979,0.016148634584796335,0.030597412897508846
Month_06 (n=50),Month_14 (n=58),0.6918696614995383,0.405529166691205,0.47093709680268964
Month_06 (n=50),Month_16 (n=50),16.04250297029705,6.19363718426907e-05,0.00022607806832547635
Month_06 (n=50),Month_18 (n=40),3.0478021978021843,0.08084647976079602,0.13859396530422174
Month_08 (n=51),Month_10 (n=53),0.4355900850906096,0.5092586495874147,0.5729159807858416
Month_08 (n=51),Month_12 (n=62),2.7420686440960367,0.09773816771712877,0.15298147990507113
Month_08 (n=51),Month_14 (n=58),0.21866125760652722,0.6400618715222943,0.6982493143879575
Month_08 (n=51),Month_16 (n=50),9.425790080738125,0.0021395489781648154,0.006418646934494446
Month_08 (n=51),Month_18 (n=40),2.0946930946291786,0.14781139058583737,0.22171708587875605
Month_10 (n=53),Month_12 (n=62),1.4417277058366835,0.22985996461092095,0.30647995281456125
Month_10 (n=53),Month_14 (n=58),0.08368575146391777,0.7723633691424107,0.794430893975051
Month_10 (n=53),Month_16 (n=50),8.2770391872279,0.004014954546002844,0.009200463229730555
Month_10 (n=53),Month_18 (n=40),0.9560016057807843,0.32819633047809393,0.40741613438659935
Month_12 (n=62),Month_14 (n=58),1.588541906066439,0.20753457850458468,0.2988497930466019
Month_12 (n=62),Month_16 (n=50),2.8413588352840407,0.09186649615655469,0.15032699371072586
Month_12 (n=62),Month_18 (n=40),0.02936110241159895,0.8639479252528172,0.8639479252528172
Month_14 (n=58),Month_16 (n=50),8.243821575450795,0.004089094768769135,0.009200463229730555
Month_14 (n=58),Month_18 (n=40),1.30428422152562,0.25343214168682837,0.32584132502592217
Month_16 (n=50),Month_18 (n=40),1.5033626373626134,0.2201546893051653,0.304829569807152
