ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
32-0_7-20,0.25477684,-0.085551076,-0.072911724,0.18290603,-0.029374525,0.012227915,-0.00029950961,-0.11579797,-0.2023771,0.06531621
45-2_7-20,0.23060215,-0.20074931,-0.15914698,0.07269615,-0.11324619,0.049238775,0.10763181,-0.07636528,-0.22206485,0.023368813
43-1_7-20,0.20669235,-0.1542066,-0.038214065,-0.051691502,0.0067094415,0.077216476,0.019918181,-0.11702558,-0.25169417,0.046157487
33-1_7-20,0.18163347,-0.014750011,-0.04004275,0.082018405,0.00036925822,0.1173704,0.050351862,-0.17529646,-0.2529108,-0.099995494
31-2_5-20,0.31030083,-0.13895427,-0.18135361,0.112078756,-0.06800438,-0.17744239,0.14776856,-0.18908843,-0.09392084,-0.13578252
35-2_7-20,0.2446366,-0.053622693,-0.05336115,-0.0033149421,-0.079364374,-0.015689578,0.11835237,-0.104604095,-0.1713299,-0.102131024
45-0_7-20,0.14230107,-0.22398663,-0.16859658,0.09962681,0.042420156,0.13106646,-0.19125764,-0.15257542,-0.34325263,0.04249043
14-1_5-20,-0.24631843,-0.36852446,-0.17911716,0.013584003,-0.08276076,0.13127042,-0.48224187,-0.19094878,-0.39581507,-0.06546482
40-1_5-20,0.051723294,-0.15898688,-0.09143399,0.06959275,-0.17328578,-0.02332126,-0.039357737,-0.19841635,-0.10659082,-0.17643988
29-0_5-20,0.10963692,-0.18430582,-0.07295071,-0.005403802,-0.29064006,-0.2023423,-0.07463728,-0.14254864,-0.18164784,-0.077569105
14-2_5-20,-0.19596899,-0.28690302,-0.14632657,0.025027618,-0.020284321,0.11138533,-0.33597422,-0.14341013,-0.41473684,-0.05654117
29-2_5-20,0.1961273,-0.098342314,-0.09373381,0.08449776,-0.1401096,-0.16104598,0.15760437,0.029837936,0.0006161928,-0.14615948
28-0_5-20,0.2735737,-0.0055182874,-0.07465073,0.11214937,0.07370593,0.10321775,-0.04528577,-0.15978631,-0.1968558,-0.0573311
42-1_7-20,0.12532295,-0.100742415,-0.0921589,0.12540723,-0.01630342,0.018914547,0.00037181005,-0.14894052,-0.27512923,-0.08368568
23-2_5-20,0.025930703,-0.3025665,-0.052733265,0.05460637,-0.17359135,-0.120840535,-0.22864577,-0.05801104,-0.20453441,0.0004974678
40-0_5-20,0.23500842,-0.15903392,-0.17075013,0.09165132,-0.09236904,0.050968297,0.02785342,-0.13585205,-0.20266576,-0.033827916
