ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
43-1_7-20,0.022281189,-0.12561949,-0.22155896,0.19421284,-0.07580025,0.21508765,0.0026158402,0.051941942,0.09723702,0.0811679
33-1_7-20,0.12418707,-0.20440072,-0.2060228,-0.12553191,-0.21344662,0.12652263,0.0505237,-0.030305192,0.18613158,0.12441075
31-2_5-20,0.020818695,-0.07538693,-0.18419531,-0.055858087,-0.12134314,0.23335981,0.044888675,0.033983544,0.20758781,0.19091837
35-2_7-20,-0.07428321,-0.17061676,-0.029598057,0.096263185,0.010921538,0.029010028,0.0625871,0.09028043,0.28162476,0.10518679
45-0_7-20,0.112941116,-0.11150116,-0.07487651,-0.16979778,-0.05504249,0.18014927,0.10688048,0.12980972,0.18106158,0.15897074
14-1_5-20,0.20767376,-0.0301268,-0.08826351,-0.23105268,0.2429206,0.054432124,0.15235832,0.20806798,0.03157425,0.18884791
40-1_5-20,0.13663962,-0.04364351,0.005257964,0.19864662,0.08604404,0.064333454,0.09017607,0.22275925,0.22843623,-0.028116181
29-0_5-20,-0.051065207,-0.010797419,-0.012026519,0.09149408,0.025368437,-0.13733168,-0.009863744,0.069848806,0.25932172,0.091142125
14-2_5-20,0.25459886,-0.14821127,-0.19781741,-0.20403332,0.110063665,-0.071936384,0.05600302,0.068689115,0.0013861433,0.15945822
29-2_5-20,0.07746064,-0.029889978,-0.030603439,-0.019132327,-0.067462504,0.12727097,0.06382953,0.11133919,0.2533822,0.08570974
28-0_5-20,-0.030232534,-0.07505951,-0.12071507,0.18102756,-0.14660907,0.019799784,0.0032999106,0.026768174,0.21949236,0.10454732
42-1_7-20,0.14755648,-0.18896043,-0.24579218,-0.08475887,-0.24428958,0.16189058,0.03667418,-0.05260726,0.0779227,0.19473676
23-2_5-20,-0.027994916,0.009237729,-0.11556138,0.23580448,-0.009752603,-0.09144445,0.011956679,0.07896513,0.115009055,0.13682516
40-0_5-20,0.119179726,-0.020262424,-0.13151588,-0.07123752,-0.13048498,0.27146524,0.05943211,0.03231991,0.19420601,0.22403333
