c_index,spearman,pearson,p_spearman,k
0.42857142857142855,-0.28988551782622424,-0.32943709343832367,0.5773517870348748,2
0.42857142857142855,-0.28988551782622424,-0.06785932212317729,0.5773517870348748,10
0.35714285714285715,-0.3188740696088466,-0.282410876572154,0.5379005604702051,4
0.35714285714285715,-0.43482827673933633,-0.35646282881261265,0.3888653001289578,5
0.35714285714285715,-0.4058397249567139,-0.24185710535449853,0.42466250756136453,7
0.35714285714285715,-0.4058397249567139,-0.15579322934655115,0.42466250756136453,8
0.35714285714285715,-0.28988551782622424,-0.08528840593946095,0.5773517870348748,9
0.2857142857142857,-0.550782483869826,-0.2960710255493342,0.2573693316225745,6
0.21428571428571427,-0.6087595874350709,-0.5816727490302981,0.19966018946036257,3
0.07142857142857142,-0.898645105261295,-0.89904450540933,0.014888622005580348,1
