c_index,spearman,pearson,p_spearman,k
0.5955056179775281,0.23810013324054785,0.1579928776342521,0.29864521374671077,7
0.5842696629213483,0.1902140729240131,0.11267061173907389,0.408874754513342,8
0.5617977528089888,0.18555848372657222,0.10362321174692402,0.42064827096162516,6
0.5617977528089888,0.13700733923897446,0.011995339437456596,0.5537131377064273,9
0.5561797752808989,0.1436581809496043,0.11131528724583958,0.5344357217409718,10
0.5168539325842697,-0.0026603366842519313,-0.15529095319451075,0.9908686921467443,5
0.5,-0.01662710427657457,-0.19848034209210616,0.9429728583426686,2
0.4550561797752809,-0.12304057164665182,-0.20500665803459825,0.5951811034128047,1
0.4438202247191011,-0.11971515079133689,-0.26904015541040893,0.6052425180514731,3
0.4101123595505618,-0.2447509749511777,-0.4115616220131022,0.2849429845560462,4
