ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
16-2_5-20,-0.0352806,0.27807376,-0.12352194,-0.016706288,-0.14072044,-0.32710528,-0.1367267,-0.15029132,0.02108863,0.2069429,2020-05-01,4,Agf16,16-2,420,2021-07-01
16-2_7-20,-0.039532468,0.092554174,0.095071815,0.05497703,0.12780672,-0.27862364,-0.17452143,-0.11350744,0.07866621,0.16017291,2020-07-01,6,Agf16,16-2,360,2021-07-01
18-0_5-20,-0.10284987,0.31387892,-0.089207426,0.102398336,-0.06174016,-0.28155094,-0.12638982,0.07730838,0.079999864,0.058060277,2020-05-01,4,Agf18,18-0,420,2021-07-01
18-0_7-20,-0.1941614,0.29883838,-0.06846963,0.26436418,0.068379246,-0.31492937,-0.022958651,0.09445094,0.114502445,0.032172482,2020-07-01,6,Agf18,18-0,360,2021-07-01
18-1_5-20,0.060466055,0.20003772,0.06618405,-0.09569089,-0.071345426,-0.3464835,-0.14772153,0.17737854,-0.054363996,-0.06605008,2020-05-01,4,Agf18,18-1,420,2021-07-01
18-1_7-20,0.24739973,0.29216474,-0.24273208,-0.11148845,-0.22660156,-0.18735272,-0.18370005,-0.37130314,0.21521151,0.26014486,2020-07-01,6,Agf18,18-1,360,2021-07-01
18-2_5-20,0.025229122,0.34610984,0.0014199764,-0.012308985,-0.15637663,-0.25383234,0.035519183,0.21041727,0.03371287,-0.030895956,2020-05-01,4,Agf18,18-2,420,2021-07-01
18-2_7-20,-0.11758573,0.10646379,0.048259906,0.12818329,0.112275615,-0.38047722,-0.19323064,-0.11089131,-0.006103754,0.08161461,2020-07-01,6,Agf18,18-2,360,2021-07-01
19-1_5-20,-0.1617495,0.07473548,0.10756796,0.1371934,0.19516766,-0.40021795,-0.15950443,0.010446526,0.0042991936,-0.0061693955,2020-05-01,4,Agf19,19-1,420,2021-07-01
19-1_7-20,0.0023200996,0.20310186,0.027687564,0.0048742294,-0.0732025,-0.4006252,-0.24368574,-0.03488209,-0.07234225,0.12540329,2020-07-01,6,Agf19,19-1,360,2021-07-01
19-2_5-20,0.2529884,0.4469268,-0.39009216,0.038336053,-0.15519087,-0.10156423,-0.23690286,-0.57845765,0.3097915,0.36505884,2020-05-01,4,Agf19,19-2,420,2021-07-01
19-2_7-20,-0.01141569,0.09330896,-0.014068693,0.10132848,0.10316728,-0.07082995,-0.14011185,-0.108090915,0.2191174,-0.048810437,2020-07-01,6,Agf19,19-2,360,2021-07-01
20-0_5-20,0.037476357,0.22573823,-0.05994435,0.16147448,-0.00129297,-0.28836405,-0.171945,-0.11801435,0.0831151,0.19504839,2020-05-01,4,Agf20,20-0,420,2021-07-01
20-0_7-20,-0.25251642,0.116873905,0.08086944,0.24354704,0.1035189,-0.5143805,-0.047105968,0.13892797,-0.08880171,-0.029646356,2020-07-01,6,Agf20,20-0,360,2021-07-01
20-2_5-20,-0.012906961,0.16258675,-0.08409909,0.09075897,0.064998776,-0.24978343,-0.119092874,-0.25429627,0.1277903,0.18677874,2020-05-01,4,Agf20,20-2,420,2021-07-01
20-2_7-20,0.11275546,0.18805099,-0.21233335,0.07168625,0.009147826,-0.20867874,-0.21257362,-0.40493587,0.15294705,0.22134076,2020-07-01,6,Agf20,20-2,360,2021-07-01
21-0_5-20,0.09254274,0.11046341,-0.099920884,0.02643682,0.05186382,-0.26267293,-0.078457884,-0.24253763,0.19611451,0.15333837,2020-05-01,4,Agf21,21-0,420,2021-07-01
21-0_7-20,-0.05782198,0.35809302,-0.16634236,0.1465054,-0.002385484,-0.10922925,-0.14905818,-0.17914197,0.27454546,0.088734955,2020-07-01,6,Agf21,21-0,360,2021-07-01
21-2_5-20,0.025769684,0.315712,-0.11360158,0.11780803,0.09783359,-0.1071004,-0.15919404,-0.19328062,0.2985734,0.13717718,2020-05-01,4,Agf21,21-2,420,2021-07-01
21-2_7-20,-0.09841934,0.22191188,0.090461574,0.16289712,0.18620065,-0.19330277,-0.18418817,-0.105074406,0.1758598,0.04191641,2020-07-01,6,Agf21,21-2,360,2021-07-01
22-0_5-20,-0.09409985,0.32287997,-0.008175224,0.044158846,0.03328701,-0.33339888,-0.1231415,0.033030458,0.07909024,-0.00592155,2020-05-01,4,Agf22,22-0,420,2021-07-01
22-0_7-20,-0.07426664,0.19025485,0.037464276,0.18727073,0.084052175,-0.37236303,-0.26153147,-0.009034537,-0.08474152,0.049627144,2020-07-01,6,Agf22,22-0,360,2021-07-01
22-1_5-20,-0.10976324,0.19336464,0.050920576,0.07924796,0.12797959,-0.3363396,-0.19937034,-0.15957558,0.09660724,0.12852836,2020-05-01,4,Agf22,22-1,420,2021-07-01
22-1_7-20,0.041484606,0.32758847,-0.18468583,0.15298739,0.0030192398,-0.12889151,-0.13868265,-0.19783497,0.2458064,0.1547327,2020-07-01,6,Agf22,22-1,360,2021-07-01
23-0_5-20,-0.1755641,0.10853823,0.037578546,0.21621153,0.12687145,-0.36217856,-0.05338315,-0.07795668,0.08068596,0.045747165,2020-05-01,4,Agf23,23-0,420,2021-07-01
23-0_7-20,-0.10906081,0.09521164,0.028376758,0.16025329,0.1572197,-0.3186794,-0.10637902,-0.11944162,0.08459414,0.09552638,2020-07-01,6,Agf23,23-0,360,2021-07-01
23-1_5-20,-0.06703392,0.22594938,-0.13921112,0.09793067,0.06752103,-0.3940841,-0.18822962,-0.27561596,0.11922019,0.34790856,2020-05-01,4,Agf23,23-1,420,2021-07-01
23-1_7-20,-0.08727423,0.17627914,-0.035320297,0.2115396,0.09351641,-0.29464087,-0.13944666,-0.049538873,0.082724914,0.037878763,2020-07-01,6,Agf23,23-1,360,2021-07-01
23-2_5-20,-0.08668267,0.03902659,-0.06358038,0.1490654,0.1241319,-0.26885045,-0.07481018,-0.34162116,0.16459973,0.20153344,2020-05-01,4,Agf23,23-2,420,2021-07-01
23-2_7-20,-0.18666928,0.0803153,0.023745626,0.12745404,0.068894,-0.4097533,-0.10124396,-0.09305936,-0.011687055,0.07247269,2020-07-01,6,Agf23,23-2,360,2021-07-01
