ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,DateEnd,Cage,MiceName,diff
14-1_5-20,-0.095670715,0.11016594,-0.042858038,0.058030486,0.01706838,-0.33530942,-0.11589997,-0.15248662,0.04559108,0.15970045,2020-05-01,4,2021-05-01,Agf14,14-1,390
14-1_7-20,-0.1684055,0.099592015,0.0960468,0.14769891,0.11962152,-0.3024909,-0.23751304,-0.1446894,0.019197814,0.037457053,2020-07-01,6,2021-05-01,Agf14,14-1,330
16-0_7-20,-0.034091562,0.062115625,0.004402429,0.05737202,0.073816955,-0.25138834,-0.18218985,-0.25184417,0.05055865,0.11883162,2020-07-01,6,2021-05-01,Agf16,16-0,270
19-0_5-20,-0.09584011,0.26631245,-0.04760641,-0.017325804,-0.006812503,-0.3084119,-0.059006967,-0.07413703,0.19404,0.15524568,2020-05-01,6,2020-09-01,Agf19,19-0,210
19-0_7-20,-0.030661786,0.19872221,-0.14266294,0.21959753,0.0030065626,-0.2944206,-0.24198163,-0.16803057,0.042649962,0.16828872,2020-07-01,6,2020-09-01,Agf19,19-0,210
20-1_5-20,0.029592674,0.28100845,-0.11746409,0.17821656,0.02736778,-0.28979287,-0.13752387,-0.18127123,0.16059029,0.28048226,2020-05-01,4,2020-01-01,Agf20,20-1,240
21-1_5-20,-0.038335353,0.092711546,0.069353975,0.10826975,0.19437504,-0.28056854,-0.19961238,-0.10787362,0.089398906,0.06710741,2020-05-01,4,2021-04-01,Agf21,21-1,330
21-1_7-20,-0.022411387,0.2637018,0.02799432,0.15631224,0.17349468,-0.22620052,-0.15254077,-0.05744307,0.19381437,0.042304683,2020-07-01,6,2021-04-01,Agf21,21-1,270
24-0_5-20,0.026823211,0.14782867,-0.030433599,-0.04488963,-0.02037524,-0.31664258,-0.06475705,-0.17921364,0.12085531,0.150999,2020-05-01,4,2021-05-01,Agf24,24-0,390
24-0_7-20,-0.123100564,0.4588505,-0.20412427,0.04889428,-0.25859028,-0.34947467,-0.094671205,-0.05021882,0.057596937,0.15959242,2020-07-01,6,2021-05-01,Agf24,24-0,330
24-2_5-20,0.008782458,0.26517075,-0.078281716,0.0061012805,0.032937847,-0.29904193,-0.18930191,-0.30619583,0.29534835,0.27330226,2020-05-01,4,2021-05-01,Agf24,24-2,390
24-2_7-20,-0.024140377,0.24953464,-0.10237159,-0.038325742,-0.16459166,-0.19772106,-0.023890883,-0.08462668,0.14806369,0.0416745,2020-07-01,6,2021-05-01,Agf24,24-2,330
25-1_5-20,-0.028643323,0.33073947,-0.0698419,0.11739074,-0.11016457,-0.38404265,-0.048608594,0.055842094,0.06809127,0.18619297,2020-05-01,4,2021-05-01,Agf25,25-1,330
25-1_7-20,-0.009493705,0.33084235,-0.11971611,0.052941218,-0.15139773,-0.36688137,-0.21195394,-0.15144001,0.020242281,0.20802274,2020-07-01,6,2021-05-01,Agf25,25-1,270
26-1_5-20,0.12516235,0.16976193,-0.14326769,0.020134106,0.007930594,-0.1160343,-0.14597291,-0.43453637,0.2698147,0.28698707,2020-05-01,4,2021-05-01,Agf26,26-1,390
26-1_7-20,-0.11915375,0.15490432,0.041146062,0.06790895,0.09765177,-0.44472972,-0.03604556,-0.06381041,0.02932319,0.13674496,2020-07-01,6,2021-05-01,Agf26,26-1,330
29-2_5-20,0.15625513,0.3208509,-0.21087968,0.11041261,-0.07716688,-0.22858511,-0.22275664,-0.3164398,0.16185519,0.34383634,2020-05-01,4,2021-05-01,Agf29,29-2,330
30-0_5-20,0.07185125,0.2486662,-0.22412863,0.19241002,0.009279819,-0.2726194,-0.23298034,-0.35198432,0.19426203,0.27243805,2020-05-01,2,2021-05-01,Agf30,30-0,390
30-0_7-20,0.121040255,0.29841164,-0.2276732,-0.07098402,-0.1915899,-0.37640283,-0.31168234,-0.43020228,0.08906658,0.18255864,2020-07-01,4,2021-05-01,Agf30,30-0,330
30-2_5-20,0.124069825,0.35451612,-0.15248594,0.027629659,-0.06097921,-0.22741677,-0.14030097,-0.276967,0.25393972,0.26388633,2020-05-01,2,2021-05-01,Agf30,30-2,390
