ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
14-0_5-20,0.04584059,0.13510925,-0.27566648,-0.21212545,0.065010324,0.009847343,0.017254442,-0.39318544,-0.026321113,-0.053476624,2020-05-01,4,Agf14,14-0,420,2021-07-01
14-0_7-20,0.019126805,-0.0049846377,-0.01726225,-0.23107392,-0.096997276,0.07349456,0.12472768,-0.117866114,-0.07721054,0.111172795,2020-07-01,6,Agf14,14-0,360,2021-07-01
14-2_5-20,0.10923663,0.1564281,-0.15759335,-0.3131489,0.08343125,-0.07224937,-0.021089599,-0.10920274,-0.20513992,-0.10974549,2020-05-01,4,Agf14,14-2,420,2021-07-01
14-2_7-20,-0.016821783,0.11693881,-0.11906135,-0.16664428,-0.0969875,0.08371145,0.21624495,-0.014011726,-0.16778255,-0.008899331,2020-07-01,6,Agf14,14-2,360,2021-07-01
15-0_5-20,-0.015047748,0.022636907,-0.17068872,-0.22642848,-0.03454922,0.029064447,0.12849915,0.022831589,-0.16883045,-0.060530275,2020-05-01,4,Agf15,15-0,420,2021-07-01
15-0_7-20,0.16595022,0.017158402,-0.25089687,-0.33798876,0.25948837,0.10523892,0.030866802,-0.3183852,-0.14925992,-0.112197116,2020-07-01,6,Agf15,15-0,360,2021-07-01
15-1_5-20,0.28633636,-0.2035449,-0.15145251,-0.42963907,0.46428138,0.06190806,0.08171971,-0.21653348,-0.19529659,-0.049454056,2020-05-01,4,Agf15,15-1,420,2021-07-01
15-1_7-20,0.21415532,-0.28160492,-0.1912111,-0.37489688,0.42815602,0.102730796,0.21084096,-0.30306444,-0.12803401,0.00536485,2020-07-01,6,Agf15,15-1,360,2021-07-01
16-1_5-20,0.10249695,-0.15151876,0.015367493,-0.19086978,-0.013855457,-0.07897256,0.11433518,-0.05327995,-0.22364102,0.10082868,2020-05-01,4,Agf16,16-1,420,2021-07-01
16-1_7-20,0.051666483,-0.25253847,-0.09707186,-0.3698305,0.37990785,0.21626596,0.29384685,-0.22398813,-0.17272952,-0.027863845,2020-07-01,6,Agf16,16-1,360,2021-07-01
16-2_5-20,0.025535207,-0.0128913885,-0.12674852,-0.14007592,0.047138795,0.13019568,0.1964218,-0.10807555,-0.19756702,-0.0178153,2020-05-01,4,Agf16,16-2,420,2021-07-01
16-2_7-20,0.21561213,-0.2851079,-0.12023153,-0.44604015,0.2477537,-0.023579434,-0.028706528,-0.30219942,-0.15648024,0.03493257,2020-07-01,6,Agf16,16-2,360,2021-07-01
18-0_5-20,0.00769192,-0.07318978,-0.12452309,-0.09190801,0.029824138,0.093219765,0.012854345,-0.1892441,-0.19142254,0.14289325,2020-05-01,4,Agf18,18-0,420,2021-07-01
18-0_7-20,-0.0033576842,0.08777548,-0.25980505,-0.14347544,0.031178817,0.2472713,0.27241588,-0.06364612,-0.12201561,-0.051457785,2020-07-01,6,Agf18,18-0,360,2021-07-01
18-1_5-20,0.1413065,-0.06156668,-0.073971964,-0.32435933,0.16289476,0.124336556,0.02211767,-0.1978682,-0.055528715,0.07810967,2020-05-01,4,Agf18,18-1,420,2021-07-01
18-1_7-20,-0.032848407,0.01565458,-0.116948605,-0.11602267,0.020051897,0.11437968,0.26034656,0.03166914,-0.35895556,-0.10748869,2020-07-01,6,Agf18,18-1,360,2021-07-01
18-2_5-20,0.21221979,-0.08132099,-0.10692464,-0.16852787,0.11382844,-0.010937735,0.079601094,-0.24936414,-0.07381758,0.18314287,2020-05-01,4,Agf18,18-2,420,2021-07-01
18-2_7-20,0.22975402,-0.11837287,-0.19567657,-0.20106378,0.44424003,-0.048922256,0.25187886,-0.25239575,-0.18492483,-0.10550256,2020-07-01,6,Agf18,18-2,360,2021-07-01
19-1_5-20,0.31740814,-0.17616901,-0.15534128,-0.3793007,0.45891827,0.13423817,0.111808956,-0.18685332,-0.19561984,-0.026096515,2020-05-01,4,Agf19,19-1,420,2021-07-01
19-1_7-20,0.27630585,-0.09014277,-0.17662643,-0.18155181,0.36282927,0.014432922,0.22111876,-0.2468512,-0.17989026,-0.020403944,2020-07-01,6,Agf19,19-1,360,2021-07-01
19-2_5-20,0.03322534,0.057827838,-0.16586089,-0.11169447,0.081940524,0.02824992,0.26518235,0.03258042,-0.29494295,-0.097123936,2020-05-01,4,Agf19,19-2,420,2021-07-01
19-2_7-20,0.12382798,-0.05047968,-0.1896671,-0.28332967,0.22673376,0.11740804,0.10229426,-0.18560678,-0.16334735,-0.04698486,2020-07-01,6,Agf19,19-2,360,2021-07-01
20-0_5-20,0.042945564,0.25244072,-0.32768255,-0.005467221,0.14549418,0.08880815,0.21619472,-0.12173013,-0.17601238,-0.13973416,2020-05-01,4,Agf20,20-0,420,2021-07-01
20-0_7-20,0.18027337,-0.13258216,-0.28727043,-0.24345781,0.5674397,0.15246578,0.27607495,-0.3072198,-0.15352225,-0.14137365,2020-07-01,6,Agf20,20-0,360,2021-07-01
20-2_5-20,0.09857263,-0.03574505,-0.38968903,-0.05980429,0.5730738,0.2843987,0.4414798,-0.05945304,-0.3189128,-0.25596732,2020-05-01,4,Agf20,20-2,420,2021-07-01
20-2_7-20,0.16384234,0.21432656,-0.33664864,-0.07536177,0.2963671,0.06403802,0.22045904,-0.1356211,-0.26041582,-0.24994561,2020-07-01,6,Agf20,20-2,360,2021-07-01
21-0_5-20,0.075821,0.3278408,-0.26021066,-0.16436915,0.0984066,0.17629065,-0.009835608,-0.10004354,-0.116133176,-0.09008435,2020-05-01,4,Agf21,21-0,420,2021-07-01
21-0_7-20,0.035502985,0.019863585,-0.10401047,-0.078177914,-0.022655442,0.07606775,0.22709289,-0.03822185,-0.14100759,0.04491383,2020-07-01,6,Agf21,21-0,360,2021-07-01
21-2_5-20,0.07189265,0.2313524,-0.18866442,-0.04647638,0.012666404,0.14045076,0.22100449,-0.034853265,-0.17175807,-0.06919664,2020-05-01,4,Agf21,21-2,420,2021-07-01
21-2_7-20,0.11853413,-0.08418929,-0.22167477,-0.18191645,0.1941049,0.14572327,0.225151,-0.12147599,-0.20210843,-0.06224355,2020-07-01,6,Agf21,21-2,360,2021-07-01
22-0_5-20,0.21541326,-0.065392144,-0.15378556,-0.18124783,0.23769937,0.04499866,0.036978967,-0.18702418,-0.15904252,0.10572006,2020-05-01,4,Agf22,22-0,420,2021-07-01
22-0_7-20,0.12614089,-0.104408324,-0.09614578,-0.35532784,0.21139202,0.21022913,0.22418764,-0.20791526,-0.046290055,0.05526997,2020-07-01,6,Agf22,22-0,360,2021-07-01
22-1_5-20,0.16017023,-0.1873358,-0.17371838,-0.1799416,0.44144714,0.23290631,0.25855452,-0.06307967,-0.3501686,-0.0835485,2020-05-01,4,Agf22,22-1,420,2021-07-01
22-1_7-20,0.033269145,0.18153587,-0.2572493,-0.19502959,0.10260535,0.21614173,0.18195806,-0.049484715,-0.18552521,-0.15122741,2020-07-01,6,Agf22,22-1,360,2021-07-01
23-0_5-20,0.13977844,-0.14432296,-0.24897194,-0.40456367,0.47756815,0.05757626,0.1341781,-0.27856728,-0.18111245,-0.14267358,2020-05-01,4,Agf23,23-0,420,2021-07-01
23-0_7-20,0.11848338,-0.21102609,-0.24229625,-0.32209978,0.41398367,0.17360373,0.28401884,-0.26802135,-0.14985347,-0.08420858,2020-07-01,6,Agf23,23-0,360,2021-07-01
23-1_5-20,0.037882507,-0.072538085,-0.23367634,-0.3465663,0.32961634,0.20584424,0.23396903,-0.12144766,-0.18984596,-0.14756942,2020-05-01,4,Agf23,23-1,420,2021-07-01
23-1_7-20,0.15567757,0.12166592,-0.25185394,-0.27180788,0.10085657,-0.04537183,0.050628927,-0.26920313,-0.04844874,-0.046236835,2020-07-01,6,Agf23,23-1,360,2021-07-01
23-2_5-20,0.0931813,0.10270887,-0.4019844,-0.20599727,0.42274788,0.1676616,0.23252006,-0.14739555,-0.24398649,-0.29453522,2020-05-01,4,Agf23,23-2,420,2021-07-01
23-2_7-20,0.19186714,0.015022544,-0.20973027,-0.3158908,0.28267574,0.017376512,0.05918136,-0.30672887,-0.0389795,-0.054266647,2020-07-01,6,Agf23,23-2,360,2021-07-01
24-1_5-20,0.23184836,-0.026552428,-0.16246368,-0.34024945,0.2897514,0.09057452,-0.005191438,-0.20593616,-0.11815503,0.020992681,2020-05-01,4,Agf24,24-1,420,2021-07-01
24-1_7-20,0.050477155,-0.21946794,-0.31081754,-0.29646486,0.45191127,0.22852133,0.17843008,-0.14491618,-0.080183536,-0.06947446,2020-07-01,6,Agf24,24-1,360,2021-07-01
25-0_5-20,0.12028001,0.09653248,-0.19921729,-0.20020926,0.13610378,0.08472559,0.08313446,-0.09605558,-0.19995591,-0.056104824,2020-05-01,4,Agf25,25-0,420,2021-07-01
25-0_7-20,0.2167149,-0.04985732,-0.06418141,-0.28816354,0.09129198,-0.21164139,-0.13522407,-0.30434874,-0.102610305,0.16133103,2020-07-01,6,Agf25,25-0,360,2021-07-01
25-2_5-20,0.2733238,-0.06765485,-0.17717941,-0.3119443,0.47820008,0.15415949,0.111584306,-0.15293022,-0.22028537,-0.10760204,2020-05-01,4,Agf25,25-2,420,2021-07-01
25-2_7-20,0.29833218,-0.2841688,0.0014194697,-0.4037559,0.22595811,-0.009422734,0.07585301,-0.27291638,-0.081966266,0.18073404,2020-07-01,6,Agf25,25-2,360,2021-07-01
26-0_5-20,0.08774607,0.18093006,-0.24593265,-0.046885148,0.09289338,-0.0012108684,0.17756945,-0.115299515,-0.17108525,-0.046656437,2020-05-01,4,Agf26,26-0,420,2021-07-01
26-0_7-20,0.23442928,-0.07271597,-0.08443188,-0.34116608,0.19507493,0.016657934,0.05330266,-0.22584608,-0.1643514,0.01840949,2020-07-01,6,Agf26,26-0,360,2021-07-01
27-0_5-20,0.06197042,-0.0338701,-0.23990995,-0.16699632,0.32120508,0.18001443,0.29312646,-0.14012343,-0.15900359,-0.06428308,2020-05-01,4,Agf27,27-0,420,2021-07-01
