c_index,spearman,pearson,p_spearman,k
0.5714285714285714,0.28988551782622424,0.02999410666285776,0.5773517870348748,1000
0.5,0.08696565534786727,0.06240465518355512,0.8698803787001028,50
0.5,-0.05797710356524484,0.12293954165250237,0.9131317851623264,100
0.5,0.02898855178262242,-0.003569868266982485,0.9565293523898406,250
0.5,0.02898855178262242,-0.09816809569754119,0.9565293523898406,500
0.42857142857142855,-0.20291986247835694,-0.2772353314274564,0.699797968157019,1889
0.35714285714285715,-0.34786262139146906,-0.14147851130893757,0.4992532181146331,25
0.07142857142857142,-0.9276336570439174,-0.8121873741316956,0.007665844187473182,10
