ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
31-2_5-20,0.020818695,-0.07538693,-0.18419531,-0.055858087,-0.12134314,0.23335981,0.044888675,0.033983544,0.20758781,0.19091837,2020-05-01,2,Agf31,31-2,480,2021-09-01
40-1_5-20,0.13663962,-0.04364351,0.005257964,0.19864662,0.08604404,0.064333454,0.09017607,0.22275925,0.22843623,-0.028116181,2020-05-01,2,Agf40,40-1,480,2021-09-01
29-0_5-20,-0.051065207,-0.010797419,-0.012026519,0.09149408,0.025368437,-0.13733168,-0.009863744,0.069848806,0.25932172,0.091142125,2020-05-01,4,Agf29,29-0,420,2021-07-01
14-2_5-20,0.25459886,-0.14821127,-0.19781741,-0.20403332,0.110063665,-0.071936384,0.05600302,0.068689115,0.0013861433,0.15945822,2020-05-01,4,Agf14,14-2,420,2021-07-01
28-0_5-20,-0.030232534,-0.07505951,-0.12071507,0.18102756,-0.14660907,0.019799784,0.0032999106,0.026768174,0.21949236,0.10454732,2020-05-01,4,Agf28,28-0,420,2021-07-01
42-1_7-20,0.14755648,-0.18896043,-0.24579218,-0.08475887,-0.24428958,0.16189058,0.03667418,-0.05260726,0.0779227,0.19473676,2020-07-01,4,Agf42,42-1,420,2021-09-01
23-2_5-20,-0.027994916,0.009237729,-0.11556138,0.23580448,-0.009752603,-0.09144445,0.011956679,0.07896513,0.115009055,0.13682516,2020-05-01,4,Agf23,23-2,420,2021-07-01
18-1_5-20,0.23401265,-0.38165528,-0.32300085,-0.026948735,0.00540277,0.2886733,0.12814018,0.053156126,-0.14498517,0.14177187,2020-05-01,4,Agf18,18-1,420,2021-07-01
43-0_7-20,0.13408831,-0.059727546,-0.088831596,0.039445773,-0.1173391,0.17741023,0.04291002,0.052873712,0.22827658,0.10838367,2020-07-01,4,Agf43,43-0,420,2021-09-01
25-0_5-20,0.1856246,-0.09445147,-0.21931964,-0.011305042,-0.04745216,0.27299863,0.06335602,-0.007537417,0.14588743,0.056447864,2020-05-01,4,Agf25,25-0,420,2021-07-01
14-0_5-20,0.094849154,-0.091158554,-0.0992316,-0.08121073,0.08811558,-0.01628603,0.12464409,0.16412474,0.14382799,0.11198175,2020-05-01,4,Agf14,14-0,420,2021-07-01
39-0_7-20,0.137391,-0.17908709,-0.1652308,-0.032188922,-0.0028917808,0.15833223,0.11786207,0.039665267,0.065306276,0.07867356,2020-07-01,4,Agf39,39-0,420,2021-09-01
22-0_5-20,0.10637796,-0.30299693,-0.30807224,0.110386044,-0.11123224,0.09961587,0.027859956,-0.024975143,0.03357575,0.033920065,2020-05-01,4,Agf22,22-0,420,2021-07-01
32-2_5-20,0.13549513,-0.029556038,-0.14469169,0.062012523,-0.034643434,0.2914623,0.05744826,0.0769417,0.17432243,0.11558872,2020-05-01,2,Agf32,32-2,480,2021-09-01
23-0_5-20,-0.0021729767,-0.09852624,-0.18103711,4.7255307e-05,0.0038390197,-0.0047826767,0.08432583,0.09037944,0.07590487,0.15850826,2020-05-01,4,Agf23,23-0,420,2021-07-01
40-2_7-20,-0.08590931,-0.11775811,-0.14250459,-0.07625582,0.09804868,-0.16522156,-0.07047396,0.050722186,0.26392752,0.116055116,2020-07-01,4,Agf40,40-2,420,2021-09-01
32-0_5-20,0.20946653,-0.09330525,-0.1965473,0.07875894,0.1022374,0.18875846,0.013664279,0.06859271,0.08368772,0.06920152,2020-05-01,2,Agf32,32-0,480,2021-09-01
21-2_5-20,0.15214542,-0.23199424,-0.26491475,-0.0023972243,-0.059653506,0.10090976,0.01576292,0.0126375705,0.1577143,-0.036635578,2020-05-01,4,Agf21,21-2,420,2021-07-01
18-2_5-20,0.15396738,-0.2694978,-0.19842553,0.013450004,-0.07263005,0.25780085,0.113547675,-0.022356175,0.06283428,0.113158554,2020-05-01,4,Agf18,18-2,420,2021-07-01
