ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Cage,MiceName,Date,AgeMonths,diff,DateEnd
29-1_5-20,0.23006779,-0.083286524,-0.1321257,0.155289,-0.07300676,0.04072465,-0.045170873,-0.14145106,-0.13122422,-0.05129855,Agf29,29-1,2020-05-01,4,420,2021-07-01
41-0_7-20,0.005599417,-0.2462666,-0.09287045,0.014357448,-0.03673572,0.053472783,-0.2702449,-0.18461971,-0.4662213,-0.020577554,Agf41,41-0,2020-07-01,4,420,2021-09-01
38-2_7-20,-0.014062889,-0.2598603,-0.09744102,0.09156666,-0.15553011,0.027698858,-0.024712577,-0.01688537,-0.31364712,-0.03072076,Agf38,38-2,2020-07-01,4,420,2021-09-01
32-1_7-20,0.08835216,-0.10852428,-0.06297228,0.043001946,-0.19877918,-0.07416734,0.09643696,-0.12060429,-0.092392385,-0.14770865,Agf32,32-1,2020-07-01,4,420,2021-09-01
42-1_5-20,-0.06985367,-0.12043801,-0.021785295,0.124713704,-0.18685648,-0.038760584,0.035093307,-0.117975906,-0.22792959,-0.18127486,Agf42,42-1,2020-05-01,2,480,2021-09-01
24-1_5-20,0.24680853,0.013592117,-0.1407399,0.13008365,0.043838367,0.19320372,-0.053715594,-0.12423533,-0.30238783,-0.015295114,Agf24,24-1,2020-05-01,4,420,2021-07-01
33-0_5-20,0.33856753,-0.035486877,-0.16869175,0.12768495,-0.02762273,0.097433284,-0.0067545995,-0.12678668,-0.3336606,0.03652651,Agf33,33-0,2020-05-01,2,480,2021-09-01
46-0_5-20,0.2183578,-0.2413395,-0.29155722,0.18067244,-0.115715854,-0.013153721,-0.032218985,-0.18459141,-0.1390058,-0.088200584,Agf46,46-0,2020-05-01,2,480,2021-09-01
41-0_5-20,0.15411666,-0.08925064,-0.033089608,0.06982676,0.02554015,0.017055023,-0.05764974,-0.102267034,-0.31611696,0.0001597628,Agf41,41-0,2020-05-01,2,480,2021-09-01
35-1_5-20,-0.00275293,-0.10966843,-0.047466554,0.115672715,-0.09030419,0.0849427,-0.14075014,-0.19277015,-0.24240819,-0.1586954,Agf35,35-1,2020-05-01,2,480,2021-09-01
31-2_7-20,0.19672513,-0.07256666,-0.05454481,0.024922691,0.072001725,0.15356393,-0.063874684,-0.25213236,-0.35813934,-0.1428916,Agf31,31-2,2020-07-01,4,420,2021-09-01
