ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
21-2_7-20,-0.09841934,0.22191188,0.090461574,0.16289712,0.18620065,-0.19330277,-0.18418817,-0.105074406,0.1758598,0.04191641
22-0_5-20,-0.09409985,0.32287997,-0.008175224,0.044158846,0.03328701,-0.33339888,-0.1231415,0.033030458,0.07909024,-0.00592155
22-0_7-20,-0.07426664,0.19025485,0.037464276,0.18727073,0.084052175,-0.37236303,-0.26153147,-0.009034537,-0.08474152,0.049627144
22-1_5-20,-0.10976324,0.19336464,0.050920576,0.07924796,0.12797959,-0.3363396,-0.19937034,-0.15957558,0.09660724,0.12852836
22-1_7-20,0.041484606,0.32758847,-0.18468583,0.15298739,0.0030192398,-0.12889151,-0.13868265,-0.19783497,0.2458064,0.1547327
23-0_5-20,-0.1755641,0.10853823,0.037578546,0.21621153,0.12687145,-0.36217856,-0.05338315,-0.07795668,0.08068596,0.045747165
23-0_7-20,-0.10906081,0.09521164,0.028376758,0.16025329,0.1572197,-0.3186794,-0.10637902,-0.11944162,0.08459414,0.09552638
23-1_5-20,-0.06703392,0.22594938,-0.13921112,0.09793067,0.06752103,-0.3940841,-0.18822962,-0.27561596,0.11922019,0.34790856
23-1_7-20,-0.08727423,0.17627914,-0.035320297,0.2115396,0.09351641,-0.29464087,-0.13944666,-0.049538873,0.082724914,0.037878763
23-2_5-20,-0.08668267,0.03902659,-0.06358038,0.1490654,0.1241319,-0.26885045,-0.07481018,-0.34162116,0.16459973,0.20153344
23-2_7-20,-0.18666928,0.0803153,0.023745626,0.12745404,0.068894,-0.4097533,-0.10124396,-0.09305936,-0.011687055,0.07247269
24-0_5-20,0.026823211,0.14782867,-0.030433599,-0.04488963,-0.02037524,-0.31664258,-0.06475705,-0.17921364,0.12085531,0.150999
24-0_7-20,-0.123100564,0.4588505,-0.20412427,0.04889428,-0.25859028,-0.34947467,-0.094671205,-0.05021882,0.057596937,0.15959242
24-1_5-20,0.006730389,0.19791842,0.027412958,0.035428546,0.13093595,-0.2824794,-0.12900078,-0.15840618,0.17469633,0.2090502
24-1_7-20,-0.02473602,0.267235,-0.08377169,0.037486218,0.06284882,-0.45585433,-0.11363031,-0.15167448,0.009386085,0.12260324
24-2_5-20,0.008782458,0.26517075,-0.078281716,0.0061012805,0.032937847,-0.29904193,-0.18930191,-0.30619583,0.29534835,0.27330226
24-2_7-20,-0.024140377,0.24953464,-0.10237159,-0.038325742,-0.16459166,-0.19772106,-0.023890883,-0.08462668,0.14806369,0.0416745
25-0_5-20,0.15334012,0.25665644,-0.08408274,-0.07787351,-0.066194475,-0.2800213,-0.17510608,-0.2258001,0.12665756,0.24528144
25-0_7-20,-0.046472903,0.27625534,-0.05376447,0.0038268268,-0.10162771,-0.3520447,-0.1086959,-0.09220048,0.041866332,0.15841517
25-1_5-20,-0.028643323,0.33073947,-0.0698419,0.11739074,-0.11016457,-0.38404265,-0.048608594,0.055842094,0.06809127,0.18619297
25-1_7-20,-0.009493705,0.33084235,-0.11971611,0.052941218,-0.15139773,-0.36688137,-0.21195394,-0.15144001,0.020242281,0.20802274
25-2_5-20,0.10734911,0.19308622,-0.06309812,-0.096570835,0.009497561,-0.37593812,-0.09867192,-0.26990086,0.12098498,0.22204168
25-2_7-20,-0.045968216,0.19246434,0.04692018,-0.042202964,0.06155689,-0.20850219,-0.13311857,0.021934502,0.11342668,-0.09879251
26-0_5-20,0.096221656,0.37174416,-0.29560575,-0.0014896989,-0.1951021,-0.32312056,-0.115803845,-0.2720347,0.047050364,0.2081636
26-0_7-20,-0.17864898,0.24502295,-0.049090922,0.12721738,-0.071899936,-0.46008927,-0.1244908,-0.047925614,-0.038772672,0.09429316
26-1_5-20,0.12516235,0.16976193,-0.14326769,0.020134106,0.007930594,-0.1160343,-0.14597291,-0.43453637,0.2698147,0.28698707
26-1_7-20,-0.11915375,0.15490432,0.041146062,0.06790895,0.09765177,-0.44472972,-0.03604556,-0.06381041,0.02932319,0.13674496
27-0_5-20,-0.16726695,0.24397707,-0.0027078092,0.18149176,-0.021444414,-0.4847816,-0.12718719,0.019965343,-0.07648003,0.12068927
27-0_7-20,-0.023645286,0.16242252,0.02296631,0.1841375,0.037364654,-0.34347057,-0.20254855,-0.034258887,-0.008072853,0.10798703
27-1_5-20,-0.10801783,0.25715494,-0.080509536,0.14647985,-0.008637188,-0.40169483,-0.1277881,-0.18899074,0.023359276,0.20999293
27-1_7-20,-0.047285568,0.2256625,-0.12406012,0.21346244,0.036553048,-0.34748238,-0.22562751,-0.24821189,0.05817777,0.18181853
27-2_5-20,0.029957678,0.22458567,-0.013446618,0.16898903,0.14158228,-0.3547017,-0.24001019,-0.1831357,0.03662409,0.20164585
27-2_7-20,-0.0767118,0.10965501,0.0030074492,0.2746789,0.18131918,-0.34295428,-0.074777655,-0.029258437,0.045415796,-0.0021518506
28-0_5-20,-0.14454338,0.25950745,-0.11053351,0.15971018,-0.00037088897,-0.341636,-0.11474648,-0.25619656,0.13732184,0.25857076
28-0_7-20,-0.04950318,0.19959784,-0.06688374,0.11747897,0.01885761,-0.3433776,-0.11434685,-0.1481592,0.092908636,0.13469505
28-1_5-20,0.2010455,0.35179803,-0.24041906,0.0026189387,-0.1312461,-0.22915998,-0.28570896,-0.42119265,0.17091164,0.23457296
28-1_7-20,0.11507338,0.49347657,-0.31127623,0.01483196,-0.24912837,-0.2145049,-0.17463909,-0.34664038,0.19747023,0.3493622
29-0_5-20,-0.036999114,0.23623565,-0.074238494,0.08317329,-0.06080816,-0.46583608,-0.15441903,-0.16122393,-0.05428846,0.24983202
29-0_7-20,0.118637815,0.1916947,-0.13932179,0.032572977,-0.003783134,-0.16572498,-0.13834955,-0.38702285,0.2409803,0.28440747
29-1_5-20,-0.06836774,0.16877125,0.019712113,0.10225519,0.023896715,-0.38800597,-0.23160613,-0.13634332,0.0015093088,0.16063339
29-1_7-20,-0.04958027,0.20064223,-0.05427231,0.11083935,0.0721292,-0.3449114,-0.24923891,-0.2618482,0.03888499,0.20628145
29-2_5-20,0.15625513,0.3208509,-0.21087968,0.11041261,-0.07716688,-0.22858511,-0.22275664,-0.3164398,0.16185519,0.34383634
29-2_7-20,-0.14836971,0.167579,0.0330054,0.1839316,0.056037597,-0.38772202,-0.23726822,0.0054213777,-0.039435804,0.064193174
30-0_5-20,0.07185125,0.2486662,-0.22412863,0.19241002,0.009279819,-0.2726194,-0.23298034,-0.35198432,0.19426203,0.27243805
30-0_7-20,0.121040255,0.29841164,-0.2276732,-0.07098402,-0.1915899,-0.37640283,-0.31168234,-0.43020228,0.08906658,0.18255864
30-1_5-20,0.09214488,0.3000375,-0.1437884,0.15951921,0.026049102,-0.28465083,-0.17465246,-0.22353843,0.098533764,0.24786864
30-1_7-20,0.014811795,0.2091845,-0.13792029,0.22921321,0.09576921,-0.1887689,-0.17938326,-0.12700886,0.13648719,-0.02449904
30-2_5-20,0.124069825,0.35451612,-0.15248594,0.027629659,-0.06097921,-0.22741677,-0.14030097,-0.276967,0.25393972,0.26388633
30-2_7-20,-0.05370374,0.23379335,-0.008186113,0.20725651,0.100999914,-0.2924438,-0.20746487,-0.10466235,0.092017934,0.16539946
31-0_7-20,-0.01957694,0.30991164,-0.20108733,0.15740713,-0.016783409,-0.21704614,-0.25829262,-0.27461538,0.14412786,0.13288653
31-1_5-20,-0.16059944,0.21338391,-0.007888049,0.18495193,-0.018860584,-0.46466437,-0.083709285,0.035147853,-0.059860647,0.139287
31-1_7-20,0.100956336,0.42903358,-0.2565682,0.059222445,-0.11818389,-0.23397385,-0.24599397,-0.3992378,0.24965847,0.32229066
31-2_5-20,0.06858754,0.23075064,-0.1005014,0.23665759,0.100892864,-0.24972612,-0.28625077,-0.28760925,0.1254396,0.26249683
31-2_7-20,-0.08793491,0.20666835,-0.08232315,0.20619129,0.023694435,-0.27303547,0.060461044,0.11939,0.20552684,-0.018107958
32-0_5-20,0.07786776,0.46529368,-0.16190234,0.04867763,-0.096690446,-0.33543748,-0.056674376,-0.08315875,0.2836058,0.27189052
32-0_7-20,-0.10572183,0.17494547,-0.15807569,0.14519374,0.052650563,-0.14150485,-0.09408976,-0.12518008,0.21083054,0.10274649
32-1_5-20,-0.07557025,0.154428,0.017419256,0.094313115,0.100320175,-0.28272033,0.011541039,-0.07100581,0.16220051,0.059068564
32-1_7-20,0.10836521,0.2903661,-0.0816077,0.06422982,-0.03041764,-0.2625124,-0.24504113,-0.17923519,0.14530748,0.21599041
32-2_5-20,0.1763224,0.18765838,-0.049268022,0.04606431,0.08579363,-0.26493943,-0.08646995,-0.18383433,0.19278108,0.2445529
32-2_7-20,-0.2785337,0.15700786,0.08470323,0.19624662,0.06817216,-0.5243092,-0.045616858,0.13881975,-0.092953995,-0.041369557
33-0_5-20,0.005053673,0.27676654,-0.06626205,0.12071151,0.024406323,-0.3207422,-0.17036302,-0.2099285,0.1089659,0.28795266
33-0_7-20,-0.0024549477,0.21603453,-0.04170252,0.15835984,0.011974603,-0.35031378,-0.37567222,-0.04594662,-0.08058573,-0.028845103
33-1_5-20,-0.078141235,0.16267438,-0.002229564,0.11262396,0.20577118,-0.26240584,-0.09003537,-0.20620045,0.2145872,0.106921285
33-1_7-20,-0.0681348,0.16301832,-0.0050587878,0.1596156,0.093358696,-0.23897988,-0.23786932,-0.15871252,0.09771137,0.14043657
33-2_5-20,0.104779124,0.22526076,-0.122173086,-0.0051861107,0.20917082,-0.3213045,-0.0027998984,-0.2753915,0.12844546,0.261596
33-2_7-20,-0.07145648,0.15190001,0.10342295,0.06796754,0.14925265,-0.33689344,-0.11594466,0.005008444,0.047198683,0.02335982
34-0_5-20,0.07926647,0.11959243,-0.110279545,0.17269158,0.14717226,-0.18587768,-0.27472144,-0.24153891,0.04992625,0.19528295
