ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
29-1_5-20,0.109730214,-0.079099454,-0.11165731,-0.31967762,0.299583,0.14729401,0.22440737,-0.16503355,-0.13250062,-0.03004478
41-0_7-20,0.07714302,0.013402419,-0.23149417,-0.16865842,0.22490582,0.024335384,0.16634013,-0.305799,-0.032695025,-0.012226924
38-2_7-20,0.045467958,0.1603091,-0.093837135,-0.08791332,-0.04930763,0.1449461,0.07157073,-0.07284282,-0.24199466,-0.011479206
32-1_7-20,0.21595588,0.19468525,-0.24900518,-0.13463642,0.2230037,-0.016625434,0.12139776,-0.118321724,-0.25818455,-0.21059835
34-0_7-20,0.12044281,0.31058395,-0.19148228,-0.18136944,-0.00040327013,-0.0034470558,-0.07821858,-0.1705712,-0.071088046,-0.0196644
42-1_5-20,0.03984737,0.31581262,-0.24373777,-0.16343307,0.053029835,0.30978698,0.29866076,0.0012100488,-0.20333606,-0.2161322
24-1_5-20,0.21914908,0.007927824,-0.14708829,-0.33484465,0.25911838,0.090963885,0.0032797754,-0.20038654,-0.11869015,0.023276687
33-0_5-20,0.070126384,0.10452423,-0.17949027,-0.20378456,0.25390998,0.27703512,0.20807739,-0.055464283,-0.18974623,-0.076440796
36-2_7-20,0.17694376,-0.0051873326,-0.269287,-0.07978228,0.2941209,0.43073702,0.36404428,0.020896941,-0.2924732,-0.14930214
46-0_5-20,0.06863186,0.07209025,-0.31503367,-0.16813613,0.37496763,0.12456418,0.25068182,-0.09540569,-0.29117367,-0.22565407
20-1_5-20,0.11772928,0.022869395,-0.20594844,-0.2552659,0.22497109,0.13368477,0.13490987,-0.18228176,-0.14041564,-0.03804651
41-0_5-20,0.09694868,-0.070156,-0.21492031,-0.22402245,0.19252583,0.107338786,0.19310027,-0.19417988,-0.12777558,0.014258429
35-1_5-20,0.10003653,0.26426965,-0.090119705,-0.28208777,0.067529805,0.10853639,0.1040567,-0.13667086,-0.13900417,-0.12768064
31-2_7-20,0.16120796,0.049470708,-0.42004752,-0.16224924,0.4439695,0.25005782,0.38433135,-0.15394174,-0.20058005,-0.2615714
37-1_7-20,0.11459896,0.121678956,-0.113280155,0.01568617,-0.016444668,-0.030065745,0.10909064,-0.05610904,-0.26458207,-0.00835444
47-1_7-20,0.11846605,0.054360688,-0.3064735,-0.122363314,0.20197341,0.018215865,0.20807923,-0.26584816,-0.08003455,-0.030402578
27-0_5-20,0.09160346,0.047543004,-0.20811547,-0.117960565,0.3129467,0.19642961,0.3036034,-0.08988996,-0.16877979,-0.099279545
41-1_7-20,0.15160431,0.10092442,-0.18651862,-0.29660773,0.1020618,-0.04120943,-0.050114006,-0.30436248,-0.012459382,0.050435424
30-1_5-20,0.13767663,-0.009027747,-0.10543341,-0.17273724,0.17104287,0.10160797,0.18086609,-0.08516296,-0.14053258,-0.002373159
34-1_7-20,0.1010264,0.060745247,-0.1935285,-0.18024069,0.22707783,0.18522662,0.1661374,-0.13298671,-0.15186352,-0.03240993
23-1_5-20,0.09524588,-0.05061271,-0.25388765,-0.34937102,0.42201918,0.20268893,0.28951648,-0.17833684,-0.22616342,-0.18560232
44-0_5-20,0.11632916,-0.0039698035,-0.42174315,-0.007953092,0.5209346,0.22984686,0.51430595,-0.06260727,-0.3441047,-0.30968738
15-1_5-20,0.260159,-0.18411274,-0.16824816,-0.4071493,0.4313493,0.029711053,0.06908904,-0.26645193,-0.15094936,-0.022213794
24-2_5-20,0.2590844,0.071318455,-0.13941477,-0.3056674,0.35594422,-0.09173916,-0.083979845,-0.25848362,-0.2563605,-0.12549132
34-0_5-20,0.095397666,0.15823533,-0.19614333,-0.23312744,0.17686585,0.20714319,0.22943364,-0.11033786,-0.121944636,-0.122856244
21-1_5-20,0.1340654,0.15159263,-0.19275706,-0.32352975,0.182291,0.2563694,0.051157,-0.12105625,-0.13658391,-0.099440366
41-1_5-20,0.06225371,0.0649871,-0.2247331,-0.3152016,0.23366213,0.28070062,0.20000134,-0.1451738,-0.093431674,-0.07631859
20-0_5-20,0.08663219,0.20783636,-0.31673676,0.0039529204,0.2217145,0.074948296,0.23215093,-0.10967679,-0.22266524,-0.152309
33-0_7-20,0.17011718,0.033910565,-0.3421334,-0.0064320117,0.23213875,0.11202667,0.31631356,-0.26261133,-0.14910898,-0.070093006
45-0_5-20,0.1907401,0.043075092,-0.21857661,-0.161577,0.1954036,-0.00044937432,0.053998724,-0.29187405,-0.08877742,0.033481747
40-2_5-20,0.13816476,-0.06418939,-0.19113502,-0.28425214,0.33951765,0.105643235,0.19353983,-0.23277009,-0.12749869,-0.0409002
46-0_7-20,0.093119204,0.1323406,-0.15449157,-0.23158407,-0.044351608,0.1642851,0.12237876,-0.15006463,-0.02803716,0.02738531
24-0_5-20,0.3164911,-0.18021922,-0.09371406,-0.4162553,0.32194823,-0.11338316,-0.06570344,-0.4075991,-0.028871477,0.12205991
30-2_7-20,0.12167637,0.10664179,-0.287826,-0.10542465,0.22973856,0.08491813,0.23389173,-0.19587906,-0.13125806,-0.12969144
35-0_7-20,0.13402613,0.09146522,-0.20286547,-0.15584196,0.20386548,0.09025889,0.056576565,-0.1631155,-0.15391925,-0.044967115
30-1_7-20,0.08173423,0.12001253,-0.31114298,-0.013058916,0.07455775,0.11979067,0.32164338,-0.15030843,-0.117221266,-0.06269575
38-2_5-20,0.159099,-0.16804348,-0.17386568,-0.2866782,0.45940965,0.16281916,0.11286156,-0.27223787,-0.19964832,-0.091294914
30-0_5-20,0.13935876,0.24176176,-0.33473355,0.014452681,0.18318485,0.12065482,0.25463024,-0.12597866,-0.20404977,-0.1677548
43-0_5-20,0.028828537,0.17167664,-0.34709144,-0.11407822,0.30566186,0.18643609,0.2733363,-0.055228814,-0.23883611,-0.23378351
44-1_7-20,0.18430357,0.1617253,-0.34526944,-0.03314492,0.31540293,0.10139944,0.2639119,-0.076237604,-0.31969774,-0.2588149
22-1_5-20,0.17676996,-0.11466943,-0.19684303,-0.19528225,0.43234986,0.23842496,0.20444027,-0.030003443,-0.3236323,-0.08161234
32-0_7-20,0.19853285,-0.0783429,-0.060145564,-0.18691134,0.10488126,-0.030118689,0.13363627,-0.10701106,-0.19629173,0.10000846
45-2_7-20,0.24484134,-0.0791732,-0.1065504,-0.19608319,0.1276814,-0.04502456,-0.063048616,-0.27806845,-0.11911063,0.16058052
43-1_7-20,0.16897303,0.069671184,-0.20414466,-0.27402303,0.15077677,0.07637199,0.034303192,-0.31207243,-0.01874204,0.02083221
33-1_7-20,0.023243628,0.21688287,-0.30465272,-0.030824944,0.14999346,0.3223317,0.37053642,0.010400549,-0.25641063,-0.22088484
