ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
43-1_7-20,-0.0974269,0.17081173,0.031141348,0.12562566,0.08448505,-0.32028335,-0.082203515,-0.011128746,0.053891562,0.09453075
33-1_7-20,-0.004281793,0.23634437,-0.039391667,0.17454295,0.039146572,-0.29299688,-0.33479103,-0.220653,0.015683144,0.22717018
31-2_5-20,0.027223717,0.18948391,-0.12873384,0.19728321,0.07476667,-0.24487206,-0.25782624,-0.33562288,0.16461883,0.23674004
35-2_7-20,0.062404018,0.14822237,-0.0494264,0.056399494,0.04112017,-0.22228377,-0.17437586,-0.16671045,0.107084446,0.12196085
45-0_7-20,-0.03331103,0.069657266,0.14322886,0.16132183,0.14115022,-0.28153872,-0.27419412,0.0120463,-0.08191076,-0.016833764
14-1_5-20,-0.09364065,0.06368846,0.009785913,0.105290696,0.06918026,-0.3390462,-0.09961696,-0.13288204,0.023464054,0.06642017
40-1_5-20,0.106272995,0.2378572,-0.11764996,0.094067,-0.045773476,-0.31609625,-0.10264179,-0.1811121,0.15257956,0.3118758
29-0_5-20,0.015640166,0.19785213,-0.0725125,0.08434029,-0.04354018,-0.442399,-0.13778013,-0.18583775,-0.042342454,0.21926977
14-2_5-20,-0.1010343,0.16313021,-0.07421525,0.100600764,0.009007274,-0.24075012,-0.11509874,-0.2957488,0.16297732,0.22544222
29-2_5-20,0.08048591,0.2663415,-0.18801706,0.07033151,-0.11769758,-0.24648336,-0.24405628,-0.3424164,0.14681923,0.29624566
28-0_5-20,-0.07273487,0.22949919,-0.09735942,0.16397646,0.03180687,-0.31560242,-0.1239213,-0.23039666,0.07586889,0.223478
42-1_7-20,-0.2544508,0.25726917,-0.07597745,0.25753522,0.047039345,-0.39072084,-0.09006544,0.047758825,-0.03456156,0.06485988
23-2_5-20,-0.057917915,0.07944775,-0.0047446266,0.18530111,0.14910333,-0.28181142,-0.12723267,-0.24453273,0.1304874,0.17881186
40-0_5-20,0.011842754,0.1842793,-0.08874326,0.13764615,0.050961755,-0.25256753,-0.17111841,-0.22687969,0.10830112,0.16661721
