c_index,spearman,pearson,p_spearman,k
0.6422680412371135,0.35169709732496096,0.33242872247910193,0.014235172583116119,4
0.6412371134020619,0.353076518007911,0.2983674408946615,0.013833539341334706,2
0.6298969072164948,0.3227844398103265,0.2546510401170128,0.025244700801016037,3
0.6268041237113402,0.31632875101412006,0.23534518027498216,0.02849468816927795,8
0.6082474226804123,0.2581723750209432,0.179252151699827,0.07644554422773232,5
0.6,0.24366086943630805,0.11762564548425403,0.09513878562390579,7
0.5958762886597938,0.23786730256791758,0.10878149773380659,0.10352181333205218,1
0.588659793814433,0.24250215606262993,0.1698452236209172,0.09677186989113679,10
0.5773195876288659,0.20134024288339858,0.11877500683657881,0.16998372789234528,9
0.5628865979381443,0.17502089625271036,0.11269696701583999,0.2341141994951119,6
