c_index,spearman,pearson,p_spearman,k
0.5939086294416244,0.2573431746116319,0.2005737787806197,0.2476026066992102,1
0.5583756345177665,0.1419426478799584,0.09666675745806971,0.5286220184518033,2
0.5076142131979695,-0.02019509217804286,-0.02739201331179737,0.9289206744766347,4
0.4873096446700508,-0.05827726599949511,-0.057117756192816393,0.796709804528703,7
0.4619289340101523,-0.07789535554387961,0.017263549438835565,0.7304260410512994,3
0.4467005076142132,-0.11597752936533187,-0.027928100179094247,0.6072733124376206,5
0.4365482233502538,-0.15002068475117555,-0.11599487847062656,0.5051730313698533,6
0.43147208121827413,-0.17367779273116862,-0.10873992900456358,0.4395387162541995,8
0.41624365482233505,-0.23484007189895556,-0.1552247686327346,0.2927979232028475,9
0.40609137055837563,-0.25041914300773144,-0.17733356352715948,0.2609984122756975,10
