c_index,spearman,pearson,p_spearman,k
0.6818181818181818,0.41627907719497986,0.27787822280444124,0.12272936416106311,8
0.6363636363636364,0.27874193715258566,0.1628183491967255,0.3144009824791543,7
0.6363636363636364,0.25306833767800535,0.26924375266918155,0.3628019187090338,9
0.5340909090909091,0.10086056936442243,0.16685656320371678,0.7206004398810425,10
0.5113636363636364,0.027507428008478847,-0.025968649851665186,0.9224796319801789,6
0.4659090909090909,-0.07885462695763935,-0.18195259933038113,0.7799822033701302,1
0.4431818181818182,-0.13020182590679988,-0.24855080349231995,0.6437232319546575,3
0.42045454545454547,-0.214557938466135,-0.2548491458900282,0.4425479150981644,5
0.375,-0.2879110798220786,-0.2980283920960311,0.2980699098124204,2
0.375,-0.27507428008478846,-0.31796373115382265,0.3210751689834518,4
