c_index,spearman,pearson,p_spearman,k
0.544973544973545,0.14586339053236555,0.08944262824146959,0.5171773521846454,1
0.49206349206349204,0.020920645654044463,0.026986936398935665,0.9263735765408561,2
0.4708994708994709,-0.06276193696213339,-0.2019123299812127,0.7814196864454722,3
0.4444444444444444,-0.16039161668100754,-0.27635918794248554,0.47582919994745476,4
0.42857142857142855,-0.18538016565667176,-0.27912419058157717,0.40883239490028245,7
0.42328042328042326,-0.1696896814161384,-0.23623257198489922,0.4502749627304352,9
0.4021164021164021,-0.22082903745935822,-0.38280200880552595,0.32335715255627795,10
0.3386243386243386,-0.4044658159781929,-0.3580663681893479,0.06189220169193564,6
0.3386243386243386,-0.3986545255187361,-0.37768001627901937,0.06609964797582692,8
0.2962962962962963,-0.4933785600078819,-0.6080228002593975,0.019629496645902758,5
