ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9
30-1_7-20,-0.02624763,0.37674177,0.19842175,0.15534148,0.24826594,0.31133398,0.0062206937,0.42455745,-0.018569693,0.1332257
38-2_5-20,0.16447203,0.1358719,-0.23391943,-0.19480336,0.082718804,0.19030705,0.039950963,-0.11573954,-0.084812075,0.34042895
30-0_5-20,0.070659876,0.3873806,0.036437213,-0.0598474,0.1412294,0.27607238,0.056967087,0.14679849,0.004305534,0.27497226
43-0_5-20,0.0572277,0.3003685,-0.01080589,0.00975753,0.18041068,0.26723897,0.016352175,0.080975726,0.079608925,0.32149446
44-1_7-20,0.15713349,0.39063802,0.04849238,0.08047676,0.10771089,0.33675155,0.049748648,0.17383507,-0.04010575,0.25349244
22-1_5-20,0.09158104,0.23382288,-0.17537257,-0.13718535,0.045082554,0.14412074,0.043638896,-0.0138339475,-0.14644004,0.3264003
32-0_7-20,0.12476097,0.17503104,-0.24989973,-0.3329605,0.11002964,0.13676354,-0.07029221,-0.026822794,0.051139653,0.2506083
45-2_7-20,0.11359824,0.27436414,-0.121616945,0.040888734,0.14678861,0.19481851,0.13397771,0.116246104,0.019623399,0.11484146
43-1_7-20,0.09989885,0.3058653,0.007476099,0.084211774,0.18782055,0.16144437,0.02557584,0.1250804,-0.11956842,0.3067399
33-1_7-20,0.008309817,0.33911625,-0.10199343,-0.10045178,0.20727164,0.18625782,0.049214013,0.10597223,-0.10956508,0.3450023
31-2_5-20,0.07409103,0.3159101,-0.034507588,-0.13446368,0.16115406,0.23026988,0.018617118,0.14542261,-0.022117592,0.27139097
35-2_7-20,0.017970694,0.44409716,0.10105066,0.13489956,0.20450057,0.3315773,0.08545736,0.18657655,-0.08854601,0.3230828
45-0_7-20,0.03178376,0.345932,-0.026127562,0.17717147,0.27591437,0.2935846,0.064143255,0.21935003,-0.007730745,0.2653838
14-1_5-20,0.06471171,0.35138035,0.06250853,0.1715582,0.21184114,0.34004128,0.059959166,0.18215571,0.041522093,0.29641974
40-1_5-20,0.06395984,0.38691115,-0.016261179,0.055622756,0.14893949,0.273874,0.03622608,0.07585207,0.058760725,0.28670457
29-0_5-20,0.010737887,0.35178924,-0.009931065,0.0029489659,0.14228876,0.27169988,0.06991039,0.085273206,-0.07068482,0.37937883
14-2_5-20,-0.027160723,0.28474432,0.061940253,0.08188082,0.082769945,0.13583185,-0.1188776,0.19009024,-0.0025711507,0.2899453
29-2_5-20,0.0058728866,0.44507504,0.07092911,-0.055099577,0.13276164,0.27988482,0.0022219608,0.15541603,-0.028169326,0.35837346
28-0_5-20,0.11210132,0.27259034,-0.23037766,-0.19690458,0.01383511,0.25119042,0.033620488,-0.054016214,-0.0602239,0.3354015
42-1_7-20,0.051041022,0.21874799,-0.053682886,-0.0369531,0.14202444,0.15058634,0.0394849,0.099848986,-0.046764158,0.29108155
23-2_5-20,0.15364006,0.2146396,-0.16450597,-0.1768198,0.023135088,0.27887285,-0.05194352,-0.025628645,0.103044294,0.3744943
40-0_5-20,0.20953605,0.21864836,0.010823678,-0.04706026,0.06278249,0.3811109,-0.068055436,0.008798689,0.070716105,0.21288007
