Compound	18-1_5-20	18-2_5-20	20-0_5-20	20-1_5-20	21-1_5-20	21-2_5-20	22-0_5-20	22-1_5-20	23-0_5-20	23-1_5-20	23-2_5-20	24-0_5-20	24-1_5-20	24-2_5-20	25-0_5-20	27-0_5-20	28-0_5-20	29-0_5-20	29-1_5-20	29-2_5-20	30-0_5-20	30-1_5-20	30-1_7-20	30-2_7-20	31-1_5-20	31-2_5-20	31-2_7-20	32-0_5-20	32-0_7-20	32-1_7-20	32-2_5-20	33-0_5-20	33-0_7-20	33-1_7-20	34-0_5-20	34-0_7-20	34-1_7-20	35-0_7-20	35-1_5-20	35-2_7-20	36-2_7-20	37-0_7-20	37-1_7-20	37-2_7-20	38-2_5-20	38-2_7-20	39-0_7-20	40-0_5-20	40-1_5-20	40-2_5-20	40-2_7-20	41-0_5-20	41-0_7-20	41-1_5-20	41-1_7-20	42-1_5-20	42-1_7-20	43-0_5-20	43-0_7-20	43-1_7-20	44-0_5-20	44-1_7-20	45-0_5-20	45-0_7-20	45-2_7-20	46-0_5-20	46-0_7-20	47-1_7-20	14-0_5-20	14-1_5-20	14-2_5-20	15-1_5-20
664.5249@17.176014	2949998.929	5340820.623	4803714.57	2528916.549	1	16306072.51	3557987.472	4036014.705	1120757.715	4787615.96	4968710.309	9604372.979	934589.3036	3569352.612	21543360.88	6835848.534	2305844.829	1020725.847	1	2895050.332	2003373.521	1105540.158	1	7732406.217	1	22816481.55	8030019.163	2237952.523	1373194.925	28885497.36	20945529.21	3577303.273	5081313.339	4947526.486	6118272.782	3151318.189	12305312.84	1	1	790948.9189	1	1438914.062	1	6454057.498	1	1495399.992	7013620.795	7186296.35	21295643.66	14840300.81	9296305.181	6336676.789	2114510.07	2400901.857	224909.956	1498810.958	19767813.93	8073584.998	1	1883894.834	1577848.217	9003808.861	5053116.461	2954865.434	1310818.946	2083324.296	6965603.873	1641553.114	1	2791791.946	6661880.294	1384625.124
Picolinic acid	6119977.847	15985549.48	5721757.802	4880552.345	3660100.926	2880454.423	3849047.381	3529200.589	2716977.147	3781198.088	3865257.238	3575664.634	3864686.612	4157220.96	2189694.238	5522683.425	3366966.649	4163975.069	2681141.629	5242490.822	10741908.49	5427630.206	16274411.06	12074699.92	2550170.013	5209639.093	7038624.052	2124475.094	4147176.449	5156282.94	3622916.187	3425093.639	18094601.51	5500243.277	3990521.87	2219747.275	5038406.175	5637546.51	2547712.406	3864716.079	4452598.203	4855310.065	3738007.414	6648995.636	2418313.75	3925323.157	18024726.09	4392004.19	2765732.124	4388382.96	16674382.51	13793354.28	15179069.31	5991297.325	5493933.435	3564694.475	5508587.489	4461538.937	5881517.482	3557321.658	10989633.97	7516278.015	4296275.265	11350968.01	4477574.481	4448291.804	15526152.21	7705712.877	4435594.345	4109495.892	3918736.127	3640671.145
784.5861@9.4509945	1584550.271	16443955.08	9204066.65	4543538.9	4510603.368	5671394.176	13219250.08	13007505.67	3557997.337	276136.8691	40362.02676	5497735.238	3219294.211	2519412.638	3919206.069	1	1	1	1	1	1	1	4644625.999	2794665.145	1147939.358	1	3373227.055	4532127.445	2157598.51	816663.9394	11612288.62	9527300.085	8617094.054	2406239.809	1	2132907.545	7219302.371	1	1	1	4787532.998	4439131.452	6266189.634	11579358.55	6387115.019	5154917.829	7913195.667	1	1	1682902.308	10841447.08	4225884.775	2300582.879	227043.9392	1055441.364	8518122.223	9105911.454	1856630.123	4001146.437	904061.8812	1	1	3069784.605	2404739.187	2223271.952	9136758.549	11495142.38	1035731.054	72573.03579	2798838.866	1	1014373.83
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester"	2338824.211	14120482	7557391.862	4606948.373	4488276.111	5129810.139	9099734.36	9337973.088	3779031.203	887850.965	290504.3015	5052727.693	3685484.857	3194529.43	4259146.725	1	79693.03385	136231.0465	70817.04378	94257.90529	127310.8631	83497.9409	4608554.879	3404319.473	1798858.155	105264.0294	3570686.394	4635488.657	2982300.083	1559492.301	8561510.964	7487714.518	6947661.332	2978579.427	88512.95457	2770989.858	6221129.038	115037.9224	1	91488.00605	4769250.07	4564558.836	5790036.451	8431547.427	5695440.511	5187384.936	6738126.113	56720.98635	31973.01115	2353300.298	7973473.972	4152008.596	2848423.047	818709.4374	1870743.07	6782915.079	7033278.915	2578963.636	4221704.004	1713420.709	153820.1522	174849.9672	3506897.905	3031564.317	3054307.742	7147959.354	9079919.019	1762848.422	415753.8218	3266916.16	38320.98436	1817995.251
"3-Hydroxy-19-norpregna-1,3,5(10)-trien-20-one"	3819131.064	169878.0585	567196.852	10744224.36	298106.2299	43329.02042	270571.2451	450842.1887	730158.4255	4974272.112	1338118.081	321124.6751	3252430.955	360777.2895	10852160.85	1076947.88	984019.241	131521.9437	14802351.04	6068590.323	130087.1559	3583604.514	8415759.231	2281235.566	275820.0867	2199518.035	1180505.228	1909226.718	14451440.8	884958.3305	664279.1007	479002.9449	5451636.728	144467.9557	397799.793	659695.1624	12151575.15	234016.0573	2584117.07	259617.8404	514881.1757	260750.0493	10286130.31	949373.9905	3193949.342	13873351.33	316810.8018	4823704.166	919275.0121	52707.98795	1036060.629	720635.401	505588.1064	1480673.377	118634.9034	1539545.42	1	2248754.909	1736876.807	413874.5467	1026336.224	241201.6081	1243455.976	5270688.5	13379927.84	2946439.066	6285329.73	132705.9931	2267397.652	5711803.827	742084.0123	3870356.422
5-(3-Pyridyl)-2-hydroxytetrahydrofuran	6048135.371	8794547.994	4152037.376	2522418.106	3984827.937	2822926.235	4800419.316	3056364.123	5994903.084	4055757.603	1849187.391	3561081.442	2853323.711	4854448.588	5833054.002	4072039.146	3447353.947	2695553.289	3186532.623	3011387.64	13754858.86	2209725.908	15135657.37	21970905.59	1258316.14	1813613.997	8159419.019	612941.9835	4923428.922	9132604.968	4021995.397	3672212.207	7480954.886	10314453.16	6079789.738	6499169.754	4978790.916	9517505.053	4134146.262	6397908.814	11151280.13	10348999.75	3842015.743	4771634.142	5071366.117	5157855.768	8983536.101	3317355.053	3434360.371	2263449.989	7362855.717	5289903.596	8019050.539	3836209.29	5129155.929	758064.458	2600648.52	2677557.266	1883191.131	3923854.186	5963533.6	10795404.76	6651968.933	10702392.44	3376792.267	1523132.48	18915846.45	17033434.23	5244773.357	4804367.232	3671191.65	4496135.238
"3?,12?-Dihydroxy-5?-chol-8(14)-en-24-oic Acid"	6164404.064	6448530.482	4034604.984	1963135.06	4465728.152	6456607.961	7714295.61	5640736.054	1829432.81	735271.2249	276821.0257	4207643.371	4797139.624	2892647.309	3152323.139	1	1	1	1	1	1	81417.08789	6667201.966	7627987.242	742255.3185	1	1742346.343	2980650.935	625396.6648	512461.1104	6957063.22	5688342.883	10577570.75	2033127.133	1	468146.6472	1206954.618	1	1	1	6030256.757	1743776.849	971097.7513	4927327.724	1829236.271	1624445.6	5044696.341	1	1	1533696.937	7260663.696	5351170.254	7550401.853	379270.0698	3085228.687	2491370.233	2070111.435	854670.0253	855511.0716	968848.7943	1	1	2110458.456	5032374.995	641369.4008	2339542.49	9754598.081	3931417.093	534608.7778	1713982.561	120525.008	2217548.151
"3beta-hydroxy-9beta-pimara-7,15-dien-19,6beta-olide"	2473807.825	1	467258.0521	9915911.743	164095.9378	1	394536.1582	285847.0746	359412.236	3263824.38	1117659.267	367501.8533	2286943.035	190451.7475	13555631.61	1704545.878	907082.3456	242817.016	11261768	2742075.759	403661.6489	2655814.588	5910824.684	1975591.177	1	1369971.073	665975.6945	3115700.222	7297267.957	937910.0223	355701.1221	484416.0028	5669735.49	1	542482.4727	263946.8641	8044319.766	1	1693156.619	364851.0297	239825.9091	210022.8831	8312839.925	545082.0929	1804391.545	5005892.919	354140.9133	1855148.185	494085.7768	1	563396.861	414024.0361	1	769346.509	297201.9384	1401447.238	1	1605234.903	674848.4367	338001.2368	1016359.245	328743.0799	804878.7829	2909950.134	5546683.595	3076955.184	5985697.748	1	1400708.191	5457924.473	1005098.875	2242722.98
Linoleoyl Ethanolamide	2362734.349	2773699.375	6048005.413	3608930.676	5730871.034	4053242.326	5610002.566	7572535.47	2111086.116	6056135.274	3523627.531	4852833.73	4161484.982	5208873.607	2298047.201	8067274.971	8757247.164	3002952.033	1406259.099	1601184.362	1993925.395	3489381.723	2651889.075	4122282.656	2539952.348	2981109.629	8220644.071	2427315.147	990879.433	3009422.013	5392597.779	5436994.733	856939.6022	2349610.195	3501394.044	4529209.994	3613471.287	7694104.535	2294963.853	3953626.075	14210184.99	5215130.776	1248303.233	4684747.953	2241310.351	3755423.033	6091090.039	4372675.93	4968365.916	3620089.663	2650374.872	1953860.451	3586912.198	3289447.827	7937317.032	2067087.459	6587451.48	8394895.873	6520146.727	3887453.533	2328765.595	10077811.21	3682042.887	911551.095	4246450.494	4136101.044	2196844.007	3497716.673	4311244.642	3130784.984	3416505.456	5674634.337
Bufadienolide	735548.0175	721933.287	9213468.854	1763821.334	972331.0049	371283.8405	728940.2305	1133580.174	7287285.082	8964738.066	9835057.115	2714998.556	533844.4835	1703964.679	2998679.7	6683702.092	9123563.534	6726245.473	4433925.195	3313156.681	6485367.959	7290336.622	520437.3581	793573.8715	3125808.576	4829358.055	856984.7462	1179642.275	651847.5184	3570631.944	1434407.991	1826457.812	1350042.131	2407015.498	11319108.51	1387661.254	1469218.972	5466844.844	3801691.41	7905060.098	1288615.123	1464521.559	678630.6196	1291255.443	1507058.512	2099860.416	585475.7942	3538675.4	5737051.349	3222078.026	608288.8356	1422017.708	1348507.393	6618239.179	1603985.868	2132858.758	343682.0552	5433347.916	3227659.59	1313480.18	3803338.724	10662644.82	1138227.097	701057.8635	821731.7585	4752038.191	1131838.746	1011058.469	5527957.142	3803293.908	3980195.874	1719705.389
