Compound	18-1_5-20	18-2_5-20	20-0_5-20	20-1_5-20	21-1_5-20	21-2_5-20	22-0_5-20	22-1_5-20	23-0_5-20	23-1_5-20	23-2_5-20	24-0_5-20	24-1_5-20	24-2_5-20	25-0_5-20	27-0_5-20	28-0_5-20	29-0_5-20	29-1_5-20	29-2_5-20	30-0_5-20	30-1_5-20	30-1_7-20	30-2_7-20	31-1_5-20	31-2_5-20	31-2_7-20	32-0_5-20	32-0_7-20	32-1_7-20	32-2_5-20	33-0_5-20	33-0_7-20	33-1_7-20	34-0_5-20	34-0_7-20	34-1_7-20	35-0_7-20	35-1_5-20	35-2_7-20	36-2_7-20	37-0_7-20	37-1_7-20	37-2_7-20	38-2_5-20	38-2_7-20	39-0_7-20	40-0_5-20	40-1_5-20	40-2_5-20	40-2_7-20	41-0_5-20	41-0_7-20	41-1_5-20	41-1_7-20	42-1_5-20	42-1_7-20	43-0_5-20	43-0_7-20	43-1_7-20	44-0_5-20	44-1_7-20	45-0_5-20	45-0_7-20	45-2_7-20	46-0_5-20	46-0_7-20	47-1_7-20	14-0_5-20	14-1_5-20	14-2_5-20	15-1_5-20 
26-Methyl nigranoate Esi+13.685008	892817.0173	902941.5028	1856308.421	533402.8471	776181.2192	511876.0569	269081.1866	1114903.954	885791.1146	809889.1874	1057678.697	1083986.23	821674.2329	976725.0687	1	955593.1589	770362.526	1122717.866	531744.6178	1919893.695	657685.3459	1563799.369	172935.9161	368997.1122	654746.9915	737722.136	658259.5402	539736.9758	366409.9105	442707.1044	818910.9197	933643.3352	571178.8367	761877.7513	873167.556	885346.0883	304958.2035	676795.2887	607937.7161	510107.9289	1139383.509	391314.7593	365196.1423	381468.9217	793015.7534	349102.2186	454274.5634	885590.3647	561520.8238	802437.7765	382533.0836	959374.7873	559900.9103	1201870.479	1230349.702	1242720.133	358425.8092	833013.2974	291379.1254	602304.7036	1008239.534	538111.6442	697187.8973	623966.9113	413096.1245	770226.9084	532831.5558	611204.6526	621445.3498	589096.3138	487556.5378	413095.2655
Caffeic aldehyde Esi+2.7120008	154104.0231	1	195998.8957	171212.2022	106866.0445	1	147931.9346	405980.2444	271172.2454	70913.0732	540562.5349	1	1	79172.01778	112962.9387	723269.6055	320763.3978	243723.8653	215522.9534	458123.1685	234315.8466	1	1	157604.0409	169426.9676	200231.9957	174901.9684	251483.1128	1	415404.696	350056.9198	274519.8603	1	443964.8706	100422.9858	122013.9858	78087.06676	97857.03837	281951.99	1	157783.9572	619163.1134	1	610692.6686	131960.9917	1	1	1689196.813	600115.2225	835578.0101	1	1579421.715	271473.1519	800280.9267	595762.5863	59611.99353	1	789889.3254	265068.0023	284376.1601	1	179741.9957	765440.1225	1	252627.1204	102785.056	1	86370.01981	530159.1552	200615.9797	293377.9667	1
Messagenin	754433.3883	826955.4015	1575026.858	388536.8745	981461.3977	606961.2969	927219.8973	1061482.385	1077315.959	855204.5481	1365851.304	1057378.158	851992.3789	1104507.665	402833.1821	900251.1426	784633.8224	1131101.527	653364.2538	1517454.681	826581.1854	1701949.736	1	268952.1507	679827.8786	612683.7236	1	597398.877	1	729409.7709	1086122.953	1509792.653	1	1	843331.8991	1	1	585035.6441	626221.2762	1	1062085.883	1	389975.7798	1	1110365.333	1	403389.2186	912290.0142	777993.7285	949351.6169	1	1	494632.3251	1382506.66	793604.1255	1445089.083	1	833983.3177	1	395420.187	946418.0085	1	783916.2467	531027.4818	1	914549.6696	1	1	651296.0719	580239.1037	555910.0737	419727.6559
544.3958@10.5650015	115872.9267	1379952.33	1	1	135211	208964.0155	136931.9898	120755.9708	1	1	124101.0675	178613.0542	214414.062	143614.1125	90696.04376	1	82911.06323	61762.99103	1	109061.0179	154381.9971	1	625657.6814	502956.1154	63556.98202	172989.1466	215510.1063	1	183269.0954	116543.0139	1	88288.93378	1344660	95895.99877	1	123314.0791	135992.1641	217792.0851	44023.00481	1	1	1	1	165653.0223	1	1	359031.0271	1	69322.01645	160300.0111	1247261.033	757922.0744	1158318.041	252764.0918	227626.9735	70049.00802	281179.7164	1	1	167663.1367	79077.02636	180316.8884	116283.9937	808997.6577	1	64016.98005	1461119.758	73441.0467	158666.1666	106168.0394	161578.9797	1
Mesoporphyrin IX	141240.0783	790198.7289	136426.0858	171723.148	238006.261	386240.7883	151010.9877	468089.8641	78077.97415	38104.98165	135760.9462	428299.3612	353316.843	549452.7893	189833.0944	141180.8611	144982.0733	1	1	1	249329.1434	166034.9003	122938.989	619994.5465	168219.1004	1	219827.1419	663841.8236	918175.2384	1	462556.7975	1479750.999	1	272317.09	170456.8439	1	349081.893	136720.0212	182397.0663	169558.0789	232809.9189	169858.0421	273379.7771	286678.0657	624380.5192	137449.0109	295775.9041	213372.9845	411446.9777	518846.048	542608.8302	1269002.077	324797.2743	266402.8517	100952.0023	697662.6141	296635.1427	231575.0019	1	111461.0404	393478.6958	97932.01849	655450.8154	420014.6139	270216.8286	112633.9326	455378.6096	78118.03287	1	1	1	1
Guanine	1056072.171	687469.4126	591074.7229	1	247855.887	1	562129.8886	514146.1538	661635.9042	498940.066	1	908785.3169	732071.4822	1	362958.7322	519071.2294	472991.9157	478166.9859	1	1	1	257650.1666	530828.0198	795072.5577	489432.3714	372469.3016	1	568986.9348	839450.075	1	676068.5451	773270.6875	1126397.807	1	390535.9951	1	761469.6444	589255.1758	558920.281	1	610111.7543	850500.1708	1	1	747924.439	563026.7725	1	625901.8869	706134.2653	429989.8263	692236.7457	583167.1787	656019.8758	674209.2989	580245.941	313928.8298	1	641509.0089	1	821423.1036	696105.7662	497513.4489	407033.7788	777173.4013	1	516555.9158	1	2885306.198	883491.6658	608724.9611	1114540.8	718959.0124
500.3471@11.771989	650742.8366	675928.9122	1000751.259	1	819258.9483	399304.0004	1111452.606	920381.2068	925653.035	601032.3004	1193725.754	667020.6961	513389.406	554976.0547	1	966194.4231	764914.5155	958891.4629	428852.7957	1264339.958	601478.6487	1413024.451	1	385211.1668	568771.2435	757992.4747	1	590167.5207	1	802804.401	1200643.989	1440751.409	235150.8465	819687.2319	890150.6535	1	1	670357.8899	565305.4186	640426.2868	717188.0877	668366.547	522611.737	443244.1301	1106869.724	1	589524.8082	783417.5923	630177.1858	637455.4527	445965.0111	450500.131	409058.8816	887256.0616	818188.0837	1172944.239	1	892836.202	385332.9417	495690.1276	656254.0975	535971.2167	793930.943	620249.8691	1	781023.266	217489.0136	507166.1736	514844.7744	541386.7299	552333.4592	493040.9669
Choline Esi+0.42399982	2723448.206	2829859.509	1529772.831	1298635.39	1364648.533	1400453.839	1623492.175	1240652.801	1479481.268	1773158.412	1708501.401	1665247.286	1414440.442	1933208.751	1507068.958	2058890.967	1591772.802	1640647.645	2066879.714	1450375.47	1310076.838	1992187.491	1324639.175	1	957780.1431	2456512.245	1290480.58	1361985.582	1892885.874	2289520.417	1225095.682	1376909.206	3205342.299	2691173.549	1393910.982	1965882.957	1494451.866	1860195.731	1561855.983	1862840.858	2034153.33	1737223.568	2224448.088	1713667.759	1392710.531	1675935.272	1190789.521	88887.07299	1444228.913	1118481.528	2533799.61	2630522.574	1960157.296	1817948.626	1612686.969	1414594.376	1435095.187	1749133.531	1407632.209	1613309.72	1521118.376	2132200.978	1323077.372	196009.7644	1702311.943	853058.9998	1008895.277	1842669.624	1391903.729	1594865.134	1760701.607	1115523.132
287.2819@8.354997	662229.1541	256510.7922	157474.9688	306577.2249	574110.1355	693652.707	330553.8976	372193.1556	449397.9444	402793.8136	357005.0608	296950.1015	666171.9116	503884.6562	474763.0068	247059.8414	316232.9123	320456.2762	1487803.948	242365.0255	124292.0073	287469.0275	375258.9616	363254.2118	465542.7085	342278.2277	354575.1735	449897.8665	368900.9554	401478.1647	449734.8009	669161.0746	357406.1664	333586.181	245343.921	581009.8111	201679.9304	561597.1155	434794.7516	401090.9809	791249.4137	656364.1879	314171.7641	299417.9111	238120.1198	188866.8532	502083.2255	207999.9996	473990.9539	605462.4655	397718.1842	275056.7915	274721.0628	264264.1139	531882.4836	456159.8676	560675.3042	165973.9156	554414.7059	348188.2517	355603.2539	382363.6892	357064.2079	314406.1691	253754.1691	460992.5787	265427.8081	401828.1194	346572.1017	249065.0389	577628.3396	452210.8243
Acetylcholine	768734.5581	1270765.15	778352.9614	216606.9488	575058.0211	690092.8692	394480.9208	692165.256	481321.0521	227787.6492	323976.3554	185376.0065	315899.034	268017.0025	235709.928	791198.9577	309971.0598	396808.1137	287828.7144	587599.6455	336398.0926	517469.7489	1001114.807	1	620372.4096	995128.9787	1	295385.8107	983283.5624	262673.1113	615377.8541	382099.8061	785708.6948	791638.362	219836.132	219655.9418	709183.7728	239080.0129	246098.2716	414650.1245	411272.1913	538684.8628	484846.9893	535318.1342	434201.1435	496588.7319	1069056.003	369642.9827	791751.4067	401409.1563	1132338.602	777416.9298	417987.4208	547228.9388	601585.388	495081.6665	990222.3591	367607.8375	218397.8306	598368.2082	498871.9404	485173.0872	366787.0048	1335340.285	321792.0146	438146.8618	844890.0017	519545.2928	278110.7528	288940.9184	433925.2461	253506.9897
10-OPDA Esi+9.544996 :1	691724.0061	464193.8875	887513.1684	598638.691	1060581.457	411864.9981	985876.2218	713336.3666	775084.9961	1314822.847	625101.0932	990234.0275	1299698.897	1255614.357	719780.2544	1565605.176	357152.8232	1497892.855	533769.7421	947072.2735	555262.3305	1102616.756	464635.2229	1204826.519	320495.8166	611812.4756	1	769153.4893	748082.5744	1897406.021	1403102.525	266266.9792	368451.9593	2096153.59	1637628.858	1349403.146	902008.8107	2237310.406	376356.9271	1708065.655	574694.2145	2411342.248	469023.9279	1134348.099	1255544.733	586828.3319	93340.98039	1070003.437	1144278.663	622718.2348	355082.8115	229826.0809	214854.877	1068761.12	1567780.331	301606.9191	535546.7524	1215129.8	2074841.931	1171747.268	1156096.184	1980087.838	1884102.47	258585.8847	1772859.776	793091.6124	356592.7881	1286327.883	1196945.472	1201462.342	648111.7212	2004550.038
Colneleic acid Esi+8.6539955	346121.0119	346089.105	629346.929	528007.9038	665968.7703	539413.8354	660772.4448	410184.0875	420323.0358	561344.1473	285338.7188	616754.5807	735184.5893	640082.7928	410896.9226	604206.8439	485081.9594	656359.6383	291208.9156	356625.9106	183375.0711	475839.9911	125333.8862	793824.1898	246861.9571	165494.988	630451.5594	474907.8244	187344.8768	922547.7118	940699.2314	635046.6283	94096.07989	1031980.3	696239.4326	801353.9046	517818.8649	1459210.92	584173.7475	1001096.765	604903.2976	860138.2278	294638.2075	560982.7952	753964.4629	490888.8935	1	741771.8533	592758.9437	409866.0591	260526.0303	182813.109	218402.2207	482793.9259	933665.3387	230922.6242	309498.7377	651960.9367	1099192.016	1555035.408	399182.7907	1126555.532	1248163.069	169794.947	980589.6441	540882.6144	133020.0322	713587.0954	583908.9909	567884.4963	409664.9674	987562.822
257.1988@4.3439965	426540.7347	419451.0697	10484661.87	274177.9452	371308.8047	193782.8002	823859.6157	936142.741	308010.0714	670759.4735	265795.1032	9303067.089	9961675.6	282554.7663	213230.901	11272389.25	552627.182	364780.9844	238572.7928	461138.9493	342470.9283	381763.0636	316066.8054	9747899.862	720287.8284	368502.2749	229652.0283	345659.0085	372458.7165	7290392.208	8520206.7	259553.7849	320747.8346	339177.2782	312922.745	229843.1269	9574077.143	228242.0367	303417.1274	403156.3723	230682.0144	8325006.685	276795.1234	514176.0905	648086.1152	296931.989	332174.7761	9718316.585	326641.144	11489351.23	516199.7796	281046.0475	290325.9493	880247.6836	1098173.825	6765513.464	557985.8455	875394.6249	156602.9648	867229.9164	305320.0908	160367.0254	631235.1422	248992.0234	7157875.401	7649934.688	1019108.34	198636.0565	325311.8838	9892824.137	9270700.993	517297.6098
411.2973@7.327002	273896.0624	777796.3829	1028489.048	258032.274	466890.918	386522.8021	1411497.36	1286862.963	517976.4568	350782.196	871374.2771	534563.5711	436065.703	587832.2559	391398.8523	1009802.693	921897.6088	516418.8012	306290.0552	499254.1865	166188.8424	489536.8712	268346.0265	325956.9701	1	1	324977.8806	319571.2284	462229.24	499685.9057	1	672317.8836	365060.4873	830269.9741	239816.1014	339956.1162	391216.0408	426869.0386	1	857288.3425	553169.4664	437768.0077	650231.9856	514608.5851	232957.9436	469573.0222	775014.6198	190160.8854	409224.785	283893.049	545353.0587	1	1	332312.2614	566424.8364	1	380621.6237	380893.9903	570334.5871	750909.7507	1	1065567.09	255852.0026	403574.9211	318699.2283	190132.0213	361449.8585	405701.1876	412872.8425	469244.7245	526100.9027	542313.29
420.3385@9.650006	732798.4874	328518.024	699124.564	756274.7886	837810.2447	1	969014.0109	679367.6517	1025294.549	870777.7386	1403742.613	244515.9414	227558.981	1	137512.9536	1380835.471	1	1172571.934	379424.9436	586945.8968	195649.9207	487721.8226	1	1	430643.6402	713689.4892	874883.261	461961.4691	69759.01264	669139.7389	455445.8468	365498.0035	1	723814.7591	659154.4386	204448.0816	1	456280.6666	572542.7924	348805.1946	491846.9737	565587.2216	1	571661.6561	372459.7492	353259.0512	224110.0778	817704.4692	366057.8151	791388.7329	378576.1501	994564.9061	487356.1755	765935.8285	457622.0364	429311.1151	597842.1126	581705.7341	1150875.227	707401.6213	527139.7647	532163.8553	576769.7598	633387.996	309989.1082	523898.5705	205777.1122	347212.6536	1167294.372	707547.2653	775255.3224	349328.0583
18R-HEPE Esi+9.140009	51324.01805	140366.0976	200949.0178	321069.9235	100099.9689	1	415464.0152	117376.0062	122524.9472	137958.0389	141468.9583	194613.8689	244462.2203	221544.9629	460895.7695	159679.9889	47158.00283	31989.99175	1	76615.9423	121526.9704	215675.9821	244435.1101	75530.04364	1	164194.1271	39296.98479	127645.1326	466555.7638	74650.01863	71397.99794	136826.0119	413297.1816	1	191759.0312	300623.0281	337421.1779	139146.9731	135098.956	86024.0241	64404.9967	101200.9284	284926.0493	109824.9259	87620.08538	250358.8623	106785.0384	77275.04667	1	1	1210593.433	725579.9174	288475.6457	426683.8559	1	217690.0588	1	218558.9603	116721.0305	61805.98807	81759.00395	55573.01914	1	1017958.277	160625.0079	389335.9395	278232.9969	68973.99929	312728.028	785884.6241	168703.9234	182480.9074
461.3633@13.047989	412671.9918	492971.9383	1288376.66	93734.01111	316634.7343	1	1	1289199.408	390161.7979	1	890968.5612	361318.0995	194026.072	299534.7793	156762.8303	699787.321	368897.1199	293403.9972	213498.8835	786947.0275	427051.9335	903710.4	210335.8149	679467.9612	259887.9108	414719.6844	233372.0079	291585.0041	196909.0645	1	732143.0338	1298338.376	230582.8998	266940.9291	423115.2034	1	161639.0218	606798.0821	184637.1072	312541.881	846735.0007	1	258924.8666	349498.0789	1	1	441754.7126	618909.0962	269945.1928	437337.0351	278930.0803	1	227606.9365	500783.6725	806940.6262	546631.8513	1	904811.6629	172189.781	313942.974	473342.1924	393478.6958	1	380986.6711	1	327702.0108	327002.015	261318.004	1	170838.0725	245598.9726	190701.9407
Obtusilactone A	211595.145	362508.9277	246867.9461	198469.116	246276.9361	117183.0191	71272.94908	232151.8094	220241.9862	110658.0592	132069.884	202277.0335	89264.01014	94993.02731	1	378719.715	735972.3293	94593.93067	133255.9106	116397.0525	269513.871	315598.1012	449505.736	219206.9478	111848.0051	213703.054	134051.9797	140416.0185	108253.9394	103895.9578	166605.0955	339751.1715	363725.8661	187964.1499	1	227058.8903	98074.87697	140811.0474	104901.0069	118662.0429	515772.0253	173748.0186	1	216213.0384	84717.94653	1	266504.0626	255258.0617	154591.9853	198321.1477	546545.4697	248469.9746	660281.6378	276199.2736	404385.0117	94755.95547	203778.0311	792473.4081	1223305.24	399057.1921	277331.1223	230147.1418	267406.8691	112916.986	219455.9713	225517.0522	361964.0772	139946.8996	230729.0288	183468.8993	156592.9786	190830.2028
Eburicoic acid	250325.0252	160999.9818	559659.568	364738.003	318105.9872	109442.0019	520720.6158	323972.0887	201022.8536	423443.2187	199285.8843	302054.0071	406187.9738	453387.1573	267707.8652	736141.7143	347298.1018	324240.3248	213203.8552	392178.7934	170901.9106	535565.3134	106970.9846	382239.9382	88927.00641	152281.0609	312840.1164	225224.1492	107381.0581	708071.2432	543317.8801	532490.4035	107452.0141	491906.2977	549333.2149	358614.9234	193256.8465	1344671.185	168288.0255	330521.1347	242373.0894	414194.8242	117501.04	227097.9252	213609.754	226230.9832	104776.9612	483471.0571	268281.863	210683.0902	141218.0524	176375.1764	149789.9183	239666.2108	609160.5548	191417.0746	184681.1378	455462.263	428620.997	724396.9769	180837.9572	469190.7352	482437.9925	233053.2328	669261.7326	266209.9556	208736.0126	304888.8785	556414.3106	311128.7094	167431.2155	438769.8898
336.2436@7.160003	378449.1654	1080537.716	971911.2132	522996.9473	1	419222.0281	671797.0803	729521.0088	656024.8777	1	1	407644.2105	1	1	556646.1508	1	693928.7431	545554.5752	464031.7515	1	1050746.34	603486.9297	698736.5102	491261.6177	323278.0435	1	1	472553.1242	504459.1772	1	490334.9256	513206.5294	1273922.427	710971.3997	777004.8078	1	361806.0483	1	1	762194.6732	480922.8671	1	535276.9488	516230.9094	411358.8624	734323.8845	1034869.916	1	1	489458.155	962167.8045	657033.3155	799503.0434	477777.04	481670.1518	588211.7182	680870.0745	599777.1356	387683.0139	1	402546.8014	746464.4351	332206.7819	531888.751	1	794866.4721	1086532.577	452596.2169	1	357538.7292	1	1
229.093@0.4319997	258034.9569	257995.075	203097.0839	195054.1273	184549.0774	228100.0125	225697.2008	248218.8235	176532.098	179889.1939	256876.9651	237218.0067	180657.0462	261832.9251	216074.1559	233263.9765	178922.8353	1	1	215758.8184	1	204300.0455	1	1	252957.2389	316027.5924	78302.02513	181034.1067	1	1	156113.9572	286323.9845	1	76598.04763	1	110491.97	1	193943.9168	144315.1266	151613.9525	191025.0086	299668.3098	1	197789.0456	189468.0419	145849.0031	1	1	1	1	1	1	1	240534.9485	165814.0809	260853.8137	327801.743	220507.9279	869337.5886	389169.1973	196622.9229	256048.9292	187348.9024	1	83608.09434	413506.3618	1	1	261684.6908	1	223848.7909	140734.0598
Cytochalasin B	1	1	98570.95616	479164.9978	250911.8357	148357.1569	146719.0828	221377.7956	650176.5511	109214.8872	315446.3211	1038337.485	494801.0376	1458212.962	609936.6999	538340.7091	250155.0411	335626.9408	296100.2124	308733.8189	1	298401.8594	251504.0314	330347.2936	210256.8096	287239.9717	237418.857	231979.0506	224460.1795	573635.9836	295423.6911	435942.3993	227822.0719	1	313078.085	402228.2819	475936.6403	425462.0713	190216.1216	167957.07	482589.8343	289304.0511	227829.9678	224712.8343	349547.0176	355451.9441	191487.939	178881.9135	1	339891.3214	1	414180.1824	420676.5868	1016825.017	295077.8288	418695.823	217799.7843	204363.2134	555841.4896	446653.0228	1	196225.0906	525783.7395	332660.0283	505526.0811	782980.5801	345956.7106	1	618039.2769	291760.0851	1	200273.7759
"estrane-3?,17?-diol Esi+8.572005"	1205399.549	547870.3487	1698785.183	1870713.246	1209700.94	1018686.711	1334099.649	1847950.907	699868.8151	1804823.091	863815.6925	860449.5018	1225817.691	1062754.546	1742850.027	1683395.809	2410035.555	1579127.249	1945766.284	1310271.181	2080043.112	2726946.565	2210988.361	3415698.015	583075.0237	945213.0354	2320935.501	1118062.96	1482484.921	1300214.304	1962926.877	1774830.721	1277381.473	1827339.164	949112.7783	1094297.062	1314604.137	1	1654171.057	1504228.181	4053259.183	1144060.567	989122.7193	1256467.566	1625846.923	1428294.452	801840.0762	2552675.993	1875146.652	908112.1797	722161.5082	740211.4876	740701.637	1208447.193	1932603.167	1170914.254	922946.1822	3129622.03	972684.9027	1049227.431	1402425.789	1949424.702	1246764.888	899463.9907	1990289.687	2130567.015	1429084.705	5843097.775	1131677.144	1734519.946	1406570.076	2262552.754
11-Oxo-beta-amyrin Esi+11.078994	757367.5061	362433.3027	646460.1883	612398.8296	1158050.711	276130.3614	727465.3465	601878.1842	623400.5922	533561.4835	907826.4519	496758.1116	402826.76	542410.2816	1	1307031.065	413353.0482	1100406.396	404632.0299	659398.0066	310415.9148	594188.435	1	294271.8469	496219.8768	647381.2249	774224.8025	306591.888	1	1039336.938	1	370246.6098	360903.0975	617360.6482	649512.6056	465955.9345	326386.7579	1	539527.1369	434875.2266	729029.6675	886959.6816	1	709407.4718	346482.2691	286508.0203	1	582260.0054	542237.3629	691710.5811	708636.8678	838721.3178	681439.9483	746183.0173	753936.7651	274169.7733	1284908.325	421929.9579	601350.67	592842.7669	1	508541.8575	587992.4072	549759.0793	1	485289.796	664636.9614	1	813044.6176	602151.0885	1	504858.6521
646.5002@9.341994	728969.0311	642952.2181	919650.3953	462395.5538	734250.084	695594.5001	940985.5218	1020940.954	930395.1173	903199.3986	1267733.441	639100.3713	659602.8012	776447.0406	690995.6007	969894.2973	928833.1904	551645.1442	520339.6069	529653.0118	1068210.1	849084.729	546086.8913	951455.7262	631619.4183	520508.0679	1069828.417	782471.6735	538376.5327	679594.6643	1035653.523	973503.068	366297.1626	694161.1025	821944.8095	919589.2019	1091885.389	976519.955	591925.4657	1328011.307	693287.8732	773295.8794	509797.9336	1011136.263	863115.4374	825524.2101	380332.052	1003702.303	872824.4559	891730.9715	662322.8012	534237.603	604307.7841	726655.9868	919188.358	618937.8395	911750.146	1055035.417	337188.0775	967585.7521	790792.6848	752956.5031	775325.1832	594153.0161	764396.687	831484.0133	364800.9599	1315773.745	830303.9292	914106.035	985817.4549	842355.6763
328.2402@12.803999	261089.6966	255359.9945	274759.9116	205346.8086	140458.9471	49760.00466	204457.0097	193673.8973	148424.0136	192201.8904	153750.0123	126122.9243	130379.001	210991.1557	70345.9624	230782.1314	109665.028	195246.0722	130782.0484	143203.9737	179533.0591	256754.8494	103162.9923	86100.02285	128469.9129	306554.0629	67033.05198	74441.00952	150215.8999	121539.9434	114595.034	146719.9981	301622.1807	377941.9146	218551.2342	144210.0316	81292.06974	119585.0901	94967.08826	236997.941	179272.1678	141685.0487	192789.9071	97476.03853	159447.9474	90965.00407	1154015.363	125953.0035	78848.0251	131096.9867	150601.8535	166307.995	169377.8857	161259.8769	143841.9541	189810.0689	131056.9194	181610.8663	111339.9643	145474.0198	153368.1092	199839.0503	96004.93853	287364.8343	95139.05006	247282.051	197281.0694	147825.9476	125780.9577	135539.9858	105743.9794	225812.058
"5-Phenyl-1,3-oxazinane-2,4-dione Esi+3.9769986"	452314.9013	658354.4514	3078700.295	2316530.104	507745.8439	389749.0552	977159.8086	1372710.531	306522.1915	254060.9289	3468994.205	2526558.231	425109.213	261620.8507	240119.9921	3558105.852	169488.9861	1635780.795	673751.0077	3925886.409	517387.2584	197512.0298	421855.0949	515833.8775	685916.7686	1935518.947	327505.8157	681474.4299	480148.1189	2531864.91	212066.9099	258713.713	605520.8031	480756.554	2302557.894	1	434235.154	2963642.506	1787391.205	1621983.823	2792362.865	2956850.764	209546.0789	3911880.856	113307.9844	406092.8217	266884.1311	3460526.207	1617644.321	2273894.674	585928.0533	3833418.295	2942551.022	389830.3798	3857300.201	127816.9818	515788.8283	1628162.2	1049920.019	221747.1443	2422675.922	2866883.8	2182371.079	559574.2307	253078.9518	237622.0186	259426.8002	115516.0668	1394727.648	486098.1103	1110730.975	386788.1312
Colneleic acid Esi+10.66301	2396372.912	532653.9374	4275954.29	2693551.092	1386658.404	3145853.377	3808855.169	3757495.641	3163039.189	3687444.743	3216218.519	4564799.3	986738.3121	979122.6058	2358022.412	5848709.894	4246426.946	3552413.278	1423275.976	4632694.123	2043942.244	4145170.461	1380694.782	5639692.218	1731450.845	2617739.307	5607475.573	2824742.64	1752016.584	1771497.501	1229165.714	3676011.884	1378035.86	1650976.323	1442031.251	1207069.237	2171318.601	7138527.093	955303.7485	1117929.671	5759535.364	5837701.449	1267083.351	2690319.341	986748.5715	3154602.943	312542.9642	5042011.577	3751031.636	3901112.033	4043720.916	2413005.879	2659854.687	4700712.448	7791350.574	1528066.607	4471445.93	4623343.104	7425861.618	1614711.51	865801.6354	1486596.824	5863233.168	2029794.158	4028594.034	3001079.279	1546411.671	1628392.442	4839417.58	2043491.767	2956385.557	1301211.457
Stearamide	54787.98787	171702.9142	75017.00265	61489.99206	174764.0598	51882.01889	94508.0107	107390.139	49934.00488	59490.01823	44101.98587	47546.97706	81150.02957	58596.9519	78834.96405	78932.07197	71582.9808	39637.98488	135036.9782	98341.99486	185984.904	83758.96531	906566.924	1043649.611	49906.01193	66899.97262	1061612.623	56913.01545	85243.96033	201332.0043	108843.0678	87315.00618	294658.0183	662613.0079	80015.95065	132922.9785	71603.97209	146376.0506	76776.96974	146902.0497	1075439.548	143112.9799	290587.8788	60907.00316	55932.99644	66484.0201	354160.0606	57799.96505	51461.96768	56887.02443	121390.9211	162607.0181	143198.8122	53276.99162	115915.0205	68750.04322	45550.01788	82331.9628	67666.9621	77147.93925	161631.0672	227045.9851	53968.01485	146980.9851	208976.7621	38765.993	256244.764	1179442.782	62424.98721	54291.99962	61985.02089	126888.0781
124.9787@19.614994	1571016.606	1028568.182	1	1	1050890.557	717241.7783	378935.0332	1	1558058.53	937640.9155	993384.6992	1	773503.8785	1583456.715	825001.376	542253.1488	698234.9273	937071.7557	1601366.389	615499.4321	1436004.66	914989.7142	1339679.067	1361432.477	1201924.63	197429.7671	790549.898	738079.1446	1800092.984	820302.2159	475998.0045	9172.002291	1202603.807	800154.4623	1379988.678	1418960.501	808474.0825	1766069.882	934969.6442	1555456.912	1291268.869	1115775.231	1	763425.5789	931134.4672	858361.5935	1200369.386	659380.1815	770518.4624	1231901.948	781010.2733	1326611.954	387017.6938	1398846.278	1278802.465	1729729.486	759720.3813	468771.0662	1	1	1576170.31	547267.2505	960858.1911	486010.8513	782005.918	1475049.563	1441610.506	497787.3352	874591.6203	891090.8489	1503603.763	1320286.87
922.492@8.658004	929818.7546	142904.0224	177644.0694	280682.774	258075.9182	131742.9285	265313.0291	208998.0564	749943.3009	621510.8277	1132361.364	141677.8796	159649.001	277758.7818	131362.9586	1074703.307	179795.9502	1258240.261	222082.0092	603129.3847	143729.0343	163877.0157	94939.05045	164653.083	185598.0465	1138958.697	480281.9285	295693.704	202262.0318	1236981.077	109682.0564	197112.945	126678.9246	686937.8248	338393.6569	265915.8046	200983.0067	271086.7361	207830.8074	166789.969	268906.108	808887.7573	86187.08025	429772.3076	149552.137	134619.8846	68398.97096	773538.1929	207596.8461	295710.9211	344599.7191	321416.8417	420424.7278	905354.9531	648794.4712	1	182633.0071	171315.0058	370051.8748	626950.4931	396769.0591	327304.0662	231043.0233	155564.0312	407860.9897	165155.1005	115991.0529	164747.0378	438653.7267	377411.2755	248778.1061	211197.9053
4-Heptyloxyphenol	209838.0819	418803.798	672126.8445	486017.252	808787.9627	1058501.586	326013.685	571800.7553	492615.6718	424406.1392	205282.7675	470263.8799	590292.3011	321292.1039	308209.7552	378694.7775	258397.9323	203153.1206	591414.8732	399185.5576	670306.7796	241203.1128	716852.6122	454688.8182	267196.9474	448176.6622	736346.3548	446911.6105	559517.6049	284012.9131	486163.8175	172945.8656	490986.217	388941.8632	537921.8255	319542.8764	492633.7692	893304.8072	537019.8908	730591.7819	1232093.234	615914.2578	410719.8077	338907.2561	168374.134	539917.7047	359433.1632	239234.0141	281945.9316	201427.0622	472593.0869	258962.9177	630397.3742	590133.1595	400525.8967	445442.9052	253305.8728	474177.6045	959574.9696	455511.1995	486763.6802	883715.2164	165169.0673	292177.9946	671668.5721	106756.1014	290042.1404	264222.903	997708.6106	552348.0077	882957.2113	536475.9606
