ID,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Date,AgeMonths,Cage,MiceName,diff,DateEnd
31-2_5-20,0.07409103,0.3159101,-0.034507588,-0.13446368,0.16115406,0.23026988,0.018617118,0.14542261,-0.022117592,0.27139097,2020-05-01,2,Agf31,31-2,480,2021-09-01
40-1_5-20,0.06395984,0.38691115,-0.016261179,0.055622756,0.14893949,0.273874,0.03622608,0.07585207,0.058760725,0.28670457,2020-05-01,2,Agf40,40-1,480,2021-09-01
29-0_5-20,0.010737887,0.35178924,-0.009931065,0.0029489659,0.14228876,0.27169988,0.06991039,0.085273206,-0.07068482,0.37937883,2020-05-01,4,Agf29,29-0,420,2021-07-01
14-2_5-20,-0.027160723,0.28474432,0.061940253,0.08188082,0.082769945,0.13583185,-0.1188776,0.19009024,-0.0025711507,0.2899453,2020-05-01,4,Agf14,14-2,420,2021-07-01
28-0_5-20,0.11210132,0.27259034,-0.23037766,-0.19690458,0.01383511,0.25119042,0.033620488,-0.054016214,-0.0602239,0.3354015,2020-05-01,4,Agf28,28-0,420,2021-07-01
42-1_7-20,0.051041022,0.21874799,-0.053682886,-0.0369531,0.14202444,0.15058634,0.0394849,0.099848986,-0.046764158,0.29108155,2020-07-01,4,Agf42,42-1,420,2021-09-01
23-2_5-20,0.15364006,0.2146396,-0.16450597,-0.1768198,0.023135088,0.27887285,-0.05194352,-0.025628645,0.103044294,0.3744943,2020-05-01,4,Agf23,23-2,420,2021-07-01
18-1_5-20,0.14105676,0.2778644,0.08118774,0.14775953,0.23544762,0.19142553,0.07488594,0.19544499,-0.17328423,0.2704991,2020-05-01,4,Agf18,18-1,420,2021-07-01
43-0_7-20,0.2402487,0.17622449,-0.16678055,0.011759922,0.06374275,0.33749288,-0.042071115,-0.028059226,-0.090103015,0.2574092,2020-07-01,4,Agf43,43-0,420,2021-09-01
25-0_5-20,0.14611787,0.20759769,-0.13364102,-0.030031174,0.11347413,0.13742752,-0.030147823,0.028742496,0.000364542,0.15471761,2020-05-01,4,Agf25,25-0,420,2021-07-01
14-0_5-20,0.077321865,0.29275662,0.025900984,0.11797169,0.14901266,0.32610348,0.016327625,0.17575835,0.020430714,0.25648177,2020-05-01,4,Agf14,14-0,420,2021-07-01
39-0_7-20,0.17496425,0.31968838,-0.050484173,0.06794706,0.14941895,0.34753835,0.09735779,0.12123123,-0.0061184615,0.1754848,2020-07-01,4,Agf39,39-0,420,2021-09-01
22-0_5-20,0.1832239,0.23467845,-0.13645256,-0.20540044,0.047361284,0.16694434,-0.050902158,-0.05339363,-0.06339978,0.26110953,2020-05-01,4,Agf22,22-0,420,2021-07-01
32-2_5-20,0.11450863,0.22207221,-0.110808656,-0.041586973,0.11529274,0.12847134,0.06545359,0.02175756,0.05257179,0.2525936,2020-05-01,2,Agf32,32-2,480,2021-09-01
23-0_5-20,0.054615453,0.13406226,-0.15670964,-0.061647266,0.11624371,0.21447659,0.059196204,-0.01414755,0.017268434,0.32565382,2020-05-01,4,Agf23,23-0,420,2021-07-01
40-2_7-20,-0.015709776,0.3778228,0.12328768,0.041799866,0.16268921,0.18124138,-0.020862138,0.16061573,-0.042189382,0.31752226,2020-07-01,4,Agf40,40-2,420,2021-09-01
32-0_5-20,0.13483228,0.14435613,-0.030895688,0.041390754,0.109315306,0.08629395,0.009008388,0.065940425,-0.13464656,0.27962196,2020-05-01,2,Agf32,32-0,480,2021-09-01
21-2_5-20,-0.06400852,0.31762537,-0.02033069,-0.099056184,0.24112582,0.042589545,0.060892947,0.23204069,-0.09644367,0.26527238,2020-05-01,4,Agf21,21-2,420,2021-07-01
18-2_5-20,0.18746778,0.30545685,-0.058669463,0.08289315,0.2047215,0.3331533,0.052511964,0.17522387,-0.1185882,0.20544177,2020-05-01,4,Agf18,18-2,420,2021-07-01
