FeatureID,14-0_5-20,14-1_5-20,14-2_5-20,15-1_5-20,18-1_5-20,18-2_5-20,20-0_5-20,20-1_5-20,21-1_5-20,21-2_5-20,22-0_5-20,22-1_5-20,23-0_5-20,23-1_5-20,23-2_5-20,24-0_5-20,24-1_5-20,24-2_5-20,25-0_5-20,27-0_5-20,28-0_5-20,29-0_5-20,29-1_5-20,29-2_5-20,30-0_5-20,30-1_5-20,30-1_7-20,30-2_7-20,31-1_5-20,31-2_5-20,31-2_7-20,32-0_5-20,32-0_7-20,32-1_7-20,32-2_5-20,33-0_5-20,33-0_7-20,33-1_7-20,34-0_5-20,34-0_7-20,34-1_7-20,35-0_7-20,35-1_5-20,35-2_7-20,36-2_7-20,37-0_7-20,37-1_7-20,37-2_7-20,38-2_5-20,38-2_7-20,39-0_7-20,40-0_5-20,40-1_5-20,40-2_5-20,40-2_7-20,41-0_5-20,41-0_7-20,41-1_5-20,41-1_7-20,42-1_5-20,42-1_7-20,43-0_5-20,43-0_7-20,43-1_7-20,44-0_5-20,44-1_7-20,45-0_5-20,45-0_7-20,45-2_7-20,46-0_5-20,46-0_7-20,47-1_7-20,Taxon,Confidence
93759f9d73cd1f2967e1b37df2b7ae89,0.0,0.0,0.0,0.0,14.0,7.0,4.0,365.0,90.0,335.0,74.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,79.0,0.0,0.0,10.0,0.0,0.0,473.0,11.0,0.0,1354.0,1589.0,6.0,5.0,67.0,6.0,102.0,20.0,831.0,60.0,22.0,103.0,166.0,673.0,50.0,0.0,0.0,28.0,13.0,63.0,0.0,0.0,25.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,213.0,0.0,13.0,7.0,0.0,0.0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.9998114113691682
ceb8a4604dd8cd75df7bf45aaf069672,0.0,0.0,0.0,171.0,0.0,0.0,0.0,33.0,45.0,12.0,38.0,9.0,0.0,0.0,0.0,61.0,56.0,11.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,25.0,0.0,2.0,0.0,11.0,6.0,0.0,0.0,0.0,95.0,15.0,15.0,0.0,25.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,36.0,0.0,0.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.8862532594740563
1d21ca93cf07e92f2eab437fef830243,0.0,0.0,0.0,0.0,24.0,42.0,0.0,7.0,8.0,0.0,7.0,6.0,7.0,14.0,0.0,6.0,8.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,13.0,15.0,0.0,7.0,24.0,25.0,0.0,11.0,0.0,0.0,0.0,4.0,9.0,0.0,8.0,12.0,25.0,11.0,0.0,8.0,13.0,0.0,11.0,16.0,0.0,34.0,5.0,0.0,0.0,0.0,26.0,12.0,20.0,16.0,0.0,25.0,4.0,9.0,14.0,11.0,0.0,7.0,7.0,13.0,0.0,4.0,12.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.9064720289962304
ba38d7f70f04de7dd0970eb4977d9aee,964.0,572.0,1008.0,0.0,9.0,12.0,374.0,0.0,0.0,0.0,14.0,15.0,2361.0,288.0,1183.0,0.0,30.0,8.0,0.0,1297.0,16.0,463.0,397.0,149.0,155.0,403.0,873.0,271.0,568.0,1005.0,22.0,8.0,32.0,42.0,19.0,18.0,1745.0,475.0,298.0,0.0,13.0,122.0,620.0,262.0,40.0,0.0,0.0,0.0,0.0,0.0,17.0,353.0,229.0,634.0,72.0,2935.0,2167.0,1110.0,303.0,0.0,0.0,87.0,94.0,286.0,348.0,0.0,0.0,1766.0,41.0,48.0,3626.0,982.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.999981123510539
511a6f64925981ece5c0dfdfca5a59ff,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.7275363424907085
7b4935d321d25b52e1b85788858d404a,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.7242850027546835
0dc29c7ea95ad522a02479dc9238c3ec,9.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.9225802266775364
43d6c2dc4ca6398b61059500c53a8c6a,17.0,0.0,10.0,14.0,0.0,23.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,24.0,0.0,0.0,19.0,0.0,9.0,20.0,9.0,0.0,0.0,22.0,0.0,0.0,7.0,76.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,7.0,26.0,7.0,9.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,16.0,12.0,13.0,8.0,5.0,14.0,32.0,11.0,9.0,0.0,45.0,6.0,0.0,19.0,16.0,0.0,0.0,34.0,7.0,0.0,22.0,13.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.8788230269683014
2e746649f98d9dd5b191bf9663b7a850,86.0,41.0,63.0,172.0,30.0,86.0,80.0,65.0,67.0,59.0,24.0,81.0,62.0,146.0,608.0,57.0,252.0,145.0,56.0,92.0,202.0,148.0,246.0,49.0,67.0,164.0,5.0,10.0,97.0,35.0,35.0,46.0,61.0,43.0,186.0,259.0,127.0,105.0,102.0,24.0,261.0,45.0,95.0,361.0,175.0,32.0,80.0,102.0,26.0,81.0,266.0,323.0,105.0,88.0,131.0,41.0,0.0,55.0,29.0,122.0,227.0,71.0,45.0,21.0,104.0,86.0,208.0,49.0,130.0,155.0,0.0,69.0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.9937832911835944
3743ba53c9c32a4187d835dd6b597ee6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.8854140832117852
1585f20a8737c680749dcd44976ebb20,0.0,0.0,0.0,0.0,17.0,5.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,10.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,5.0,3.0,6.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.8880734163311225
c97c5b544559b09fcf47226bb5d1de4c,16.0,19.0,0.0,26.0,27.0,36.0,14.0,25.0,12.0,10.0,9.0,26.0,8.0,13.0,19.0,0.0,27.0,11.0,0.0,35.0,21.0,11.0,15.0,0.0,0.0,13.0,13.0,40.0,12.0,7.0,86.0,0.0,12.0,12.0,0.0,21.0,22.0,30.0,29.0,12.0,62.0,21.0,29.0,29.0,0.0,15.0,15.0,20.0,25.0,30.0,45.0,38.0,29.0,14.0,0.0,39.0,0.0,39.0,11.0,12.0,24.0,0.0,19.0,30.0,31.0,26.0,22.0,37.0,30.0,17.0,15.0,31.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.9390715647502824
35e83aa879340c65e651416d668ca41a,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,21.0,21.0,9.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,7.0,8.0,9.0,66.0,60.0,15.0,7.0,0.0,0.0,7.0,0.0,5.0,0.0,36.0,0.0,0.0,27.0,12.0,14.0,0.0,0.0,11.0,0.0,7.0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.9992401388569312
4da29ef9ed8b240408c70294066dc5aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__,0.9307708442221402
73fbc23ff2ffe933b1a417142d106e68,324.0,301.0,194.0,792.0,179.0,135.0,641.0,226.0,267.0,84.0,67.0,203.0,299.0,297.0,702.0,147.0,205.0,220.0,218.0,201.0,599.0,821.0,1752.0,224.0,471.0,577.0,55.0,168.0,485.0,98.0,280.0,167.0,282.0,222.0,449.0,571.0,838.0,842.0,1118.0,280.0,746.0,467.0,572.0,907.0,520.0,70.0,196.0,67.0,309.0,260.0,489.0,727.0,484.0,394.0,301.0,177.0,63.0,286.0,170.0,207.0,257.0,657.0,376.0,292.0,574.0,332.0,419.0,760.0,237.0,270.0,12.0,613.0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999940438532916
